#id,name,request_email,notes,home_page,tag_string
mairie-81033-01,Mairie - Blaye-les-Mines,contact@mairie-blaye.fr,"Adresse : 145 bis avenue d'Albi, 81400,Blaye-les-Mines | Tél : 05 63 80 25 10 | Fax : 05 63 76 51 77",http://www.mairie-blaye.fr,mairie
mairie-85145-01,Mairie - Monsireigne,mairie@monsireigne.fr,"Adresse : 10 rue de Rochereau,85110,Monsireigne | Tél : 02 51 66 41 07 | Fax : 02 51 64 02 94",http://www.monsireigne.fr,mairie
mairie-85146-01,Mairie - Montaigu-Vendée,mairie.de.montaigu@ville-montaigu.com,"Adresse : Place de l'Hôtel-de-Ville - BP 227,85602,Montaigu-Vendée | Tél : 02 51 09 21 21 | Fax : 02 51 09 21 60",http://www.ville-montaigu.fr,mairie
mairie-85146-02,Mairie déléguée - Boufféré,contact@bouffere.fr,"Adresse : 22 rue du Sacré-Coeur - Boufféré,85607,Montaigu-Vendée | Tél : 02 51 94 04 51 | Fax : 02 51 46 39 89",http://www.bouffere.fr,mairie
mairie-85146-03,Mairie déléguée - La Guyonnière,contact.mairie@laguyonniere.fr,"Adresse : La Guyonnière - 5 rue du Commerce,85600,Montaigu-Vendée | Tél : 02 51 41 71 58 | Fax : 02 51 41 51 87",http://www.laguyonniere.fr,mairie
mairie-85146-04,Mairie déléguée - Saint-Georges-de-Montaigu,mairie@saintgeorgesdemontaigu.fr,"Adresse : Saint-Georges-de-Montaigu - 3 place Raymond-Dronneau,85600,Montaigu-Vendée | Tél : 02 51 48 94 94 | Fax : 02 51 48 94 99",http://www.saintgeorgesdemontaigu.fr,mairie
mairie-85146-05,Mairie déléguée - Saint-Hilaire-de-Loulay,contact.mairie@sainthilairedeloulay.fr,"Adresse : Saint-Hilaire-de-Loulay - Rue du Chemin-Neuf,85600,Montaigu-Vendée | Tél : 02 51 48 92 92 | Fax : 02 51 48 92 99",http://www.sainthilairedeloulay.com,mairie
mairie-85147-01,Mairie - Montournais,mairie@montournais.fr,"Adresse : 5 place du Chevalier-Jehan,85700,Montournais | Tél : 02 51 57 93 06 | Fax : 02 51 57 98 89",http://www.montournais.fr,mairie
mairie-85149-01,Mairie - Moreilles,mairie-moreilles@wanadoo.fr,"Adresse : 3 rue Nationale,85450,Moreilles | Tél : 02 51 56 07 73 | Fax : 02 51 28 68 28",,mairie
mairie-85151-01,Mairie - Mortagne-sur-Sèvre,mairie@mortagnesursevre.fr,"Adresse : Place de l'Hôtel-de-Ville - BP 201037,85291,Mortagne-sur-Sèvre | Tél : 02 51 65 00 45 | Fax : 02 51 65 23 51",http://www.mortagnesursevre.fr,mairie
mairie-85152-01,Mairie - Les Achards,contact@lesachards.fr,"Adresse : La Mothe-Achard - Place de l'Hôtel-de-Ville,85150,Les Achards | Tél : 02 51 38 60 49 | Fax : 02 51 38 68 73",http://www.lamotheachard.com,mairie
mairie-85152-02,Mairie déléguée - La Chapelle-Achard,contact@lesachards.fr,"Adresse : La Chapelle-Achard - 24 rue du Général-de-Gaulle,85150,Les Achards | Tél : 02 51 38 61 89 | Fax : 02 51 05 92 27",http://www.lachapelleachard.fr,mairie
mairie-85153-01,Mairie - Mouchamps,mairie@mouchamps.com,"Adresse : 11 rue du Commandant-Guilbaud,85640,Mouchamps | Tél : 02 51 66 21 01 | Fax : 02 51 66 27 60",http://www.mouchamps.com,mairie
mairie-85154-01,Mairie - Mouilleron-Saint-Germain,accueil@mouilleronstgermain.fr,"Adresse : Mouilleron-en-Pareds - 1 place de Lattre-de-Tassigny - BP 010003,85390,Mouilleron-Saint-Germain | Tél : 02 51 00 30 34 | Fax : 02 51 87 51 54",http://www.mouilleronstgermain.fr,mairie
mairie-85155-01,Mairie - Mouilleron-le-Captif,contact@mairie-mouilleronlecaptif.fr,"Adresse : 8 rue de la Gillonnière,85000,Mouilleron-le-Captif | Tél : 02 51 31 10 50 | Fax : 02 51 38 05 44",http://www.mairie-mouilleronlecaptif.fr,mairie
mairie-85156-01,Mairie - Moutiers-les-Mauxfaits,mairie-moutiers.les.mauxfaits@wanadoo.fr,"Adresse : 25 avenue Georges-Clemenceau,85540,Moutiers-les-Mauxfaits | Tél : 02 51 98 90 33 | Fax : 02 51 31 42 67",http://www.moutiers-les-mauxfaits.fr,mairie
mairie-85157-01,Mairie - Moutiers-sur-le-Lay,mairie.moutierssurlay@wanadoo.fr,"Adresse : Rue de la Saulnerie,85320,Moutiers-sur-le-Lay | Tél : 02 51 27 50 70 | Fax : 02 51 27 56 48",,mairie
mairie-85158-01,Mairie - Mouzeuil-Saint-Martin,mairie.mouzeuil@orange.fr,"Adresse : 22 rue Louis-Appraillé,85370,Mouzeuil-Saint-Martin | Tél : 02 51 28 73 96 | Fax : ",http://www.mouzeuilsaintmartin.fr,mairie
mairie-85160-01,Mairie - Nesmy,contact@mairienesmy.fr,"Adresse : Place de l'Église,85310,Nesmy | Tél : 02 51 07 62 64 | Fax : ",http://www.nesmy.fr,mairie
mairie-85161-01,Mairie - Nieul-le-Dolent,mairie@nieul-le-dolent.fr,"Adresse : 13 place du Marché,85430,Nieul-le-Dolent | Tél : 02 51 07 90 92 | Fax : 02 51 07 95 63",http://www.nieul-le-dolent.fr,mairie
mairie-85162-01,Mairie - Nieul-sur-l'Autise,mairie@nieul-sur-lautise.fr,"Adresse : 3 rue Aliénor-d'Aquitaine,85240,Nieul-sur-l'Autise | Tél : 02 51 52 40 12 | Fax : 02 51 52 43 04",http://www.nieul-sur-lautise.fr,mairie
mairie-85163-01,Mairie - Noirmoutier-en-l'Île,mairie@ville-noirmoutier.fr,"Adresse : 1 place de l'Hôtel-de-Ville - BP 713,85330,Noirmoutier-en-l'Île | Tél : 02 51 35 99 99 | Fax : 02 51 39 55 75",http://www.ville-noirmoutier.fr,mairie
mairie-85164-01,Mairie - Notre-Dame-de-Monts,mairie@notre-dame-de-monts.fr,"Adresse : 4 rue de la Barre,85690,Notre-Dame-de-Monts | Tél : 02 51 58 83 02 | Fax : 02 51 58 28 52",http://www.notre-dame-de-monts.fr,mairie
mairie-85167-01,Mairie - L'Orbrie,mairie.lorbrie@wanadoo.fr,"Adresse : 21 rue du Docteur-Audé,85200,L'Orbrie | Tél : 02 51 69 06 72 | Fax : 02 51 69 70 63",http://lorbrie.fr,mairie
mairie-85168-01,Mairie - Oulmes,mairie@oulmes.fr,"Adresse : 7 rue de la Venise-Verte,85420,Oulmes | Tél : 02 51 52 40 59 | Fax : 02 51 52 44 58",http://www.oulmes.fr,mairie
mairie-85169-01,Mairie - Palluau,mairie.palluau@orange.fr,"Adresse : 5 rue de Lattre-de-Tassigny,85670,Palluau | Tél : 02 51 98 50 24 | Fax : 02 51 98 52 60",http://www.palluau.fr,mairie
mairie-85171-01,Mairie - Péault,mairie.peault@wanadoo.fr,"Adresse : 1 rue Cavoleau,85320,Péault | Tél : 02 51 97 70 12 | Fax : 02 51 28 00 11",http://www.peault.fr,mairie
mairie-85172-01,Mairie - Le Perrier,mairie.le.perrier@orange.fr,"Adresse : 1 place de la Mairie,85300,Le Perrier | Tél : 02 51 68 09 05 | Fax : 02 51 68 14 30",http://www.leperrier.fr,mairie
mairie-85174-01,Mairie - Petosse,mairie-petosse@wanadoo.fr,"Adresse : 239 rue du Chat-Ferré,85570,Petosse | Tél : 02 51 00 14 11 | Fax : ",,mairie
mairie-85175-01,Mairie - Les Pineaux,mairie-les-pineaux@wanadoo.fr,"Adresse : 14 rue de l'Océan,85320,Les Pineaux | Tél : 02 51 30 50 58 | Fax : ",,mairie
mairie-85176-01,Mairie - Pissotte,mairie.de.pissotte@wanadoo.fr,"Adresse : 1 route de l'Orbrie,85200,Pissotte | Tél : 02 51 69 05 61 | Fax : 02 51 69 75 96",http://www.pissotte.fr,mairie
mairie-85177-01,Mairie - Velluire-sur-Vendée,mairie.poire-sur-velluire@wanadoo.fr,"Adresse : Poiré-sur-Velluire - 3 rue Pierre-Ballard,85770,Velluire-sur-Vendée | Tél : 02 51 52 31 21 | Fax : 02 51 52 37 41",,mairie
mairie-85177-02,Mairie déléguée - Velluire,mairie-de-velluire@wanadoo.fr,"Adresse : Velluire - 13 rue Georges-Clemenceau,85770,Velluire-sur-Vendée | Tél : 02 51 52 31 04 | Fax : ",http://www.velluire.free.fr,mairie
mairie-85178-01,Mairie - Le Poiré-sur-Vie,mairie@ville-lepoiresurvie.fr,"Adresse : 4 place du Marché - BP 4,85170,Le Poiré-sur-Vie | Tél : 02 51 31 80 14 | Fax : 02 51 31 89 12",http://www.ville-lepoiresurvie.fr,mairie
mairie-85179-01,Mairie - Poiroux,mairie.poiroux@wanadoo.fr,"Adresse : 116 rue du Payré,85440,Poiroux | Tél : 02 51 96 22 56 | Fax : 02 51 96 22 58",http://www.poiroux.fr,mairie
mairie-85182-01,Mairie - Pouzauges,mairie@pouzauges.com,"Adresse : Place de l'Hôtel-de-Ville - CS 201247,85702,Pouzauges Cedex | Tél : 02 51 57 01 37 | Fax : 02 51 57 07 69",http://www.pouzauges.com,mairie
mairie-85184-01,Mairie - Puy-de-Serre,mairie.puydeserre@wanadoo.fr,"Adresse : 6 rue du Bois-du-Roc,85240,Puy-de-Serre | Tél : 02 51 00 43 37 | Fax : 02 51 00 01 56",,mairie
mairie-85186-01,Mairie - La Rabatelière,mairierabateliere@wanadoo.fr,"Adresse : 3 rue de l'Étang,85250,La Rabatelière | Tél : 02 51 42 22 01 | Fax : ",http://www.larabateliere.fr,mairie
mairie-85187-01,Mairie - Réaumur,mairie@reaumur.fr,"Adresse : 1 place de l'Église,85700,Réaumur | Tél : 02 51 57 90 99 | Fax : 02 51 57 90 36",http://www.reaumur.fr,mairie
mairie-85188-01,Mairie - La Réorthe,mairie.la.reorthe@wanadoo.fr,"Adresse : 18 rue du Lay,85210,La Réorthe | Tél : 02 51 27 81 52 | Fax : 02 51 27 83 71",,mairie
mairie-85189-01,Mairie - Notre-Dame-de-Riez,mairie.nd.riez@wanadoo.fr,"Adresse : 2 rue du Ligneron,85270,Notre-Dame-de-Riez | Tél : 02 51 55 14 15 | Fax : 02 51 55 47 12",http://www.notre-dame-de-riez.com,mairie
mairie-85190-01,Mairie - Rocheservière,mairie@rocheserviere.fr,"Adresse : Place de la Mairie,85620,Rocheservière | Tél : 02 51 94 90 35 | Fax : 02 51 94 91 47",http://www.rocheserviere.fr,mairie
mairie-85191-01,Mairie - La Roche-sur-Yon,gilbert.olier@larochesuryon.fr,"Adresse : Hôtel de Ville - Place Napoléon - BP 829,85021,La Roche-sur-Yon Cedex | Tél : 02 51 47 47 47 | Fax : 02 51 37 48 71",http://www.larochesuryon.fr,mairie
mairie-85192-01,Mairie - Rochetrejoux,mairie@rochetrejoux.fr,"Adresse : 4 rue du Tigre,85510,Rochetrejoux | Tél : 02 51 91 45 24 | Fax : 02 51 67 51 98",http://www.rochetrejoux.fr,mairie
mairie-85194-01,Mairie - Les Sables-d'Olonne,dg@lessablesdolonne.fr,"Adresse : 21 place du Poilu-de-France - BP 30386,85108,Les Sables-d'Olonne Cedex | Tél : 02 51 23 16 00 | Fax : 02 51 96 92 44",http://www.lessablesdolonne.fr,mairie
mairie-85194-02,Mairie déléguée - Château-d'Olonne,service.courrier@ville-chateaudolonne.fr,"Adresse : Château-d'Olonne - 53 rue Séraphin-Buton,85100,Les Sables-d'Olonne | Tél : 02 51 23 88 00 | Fax : 02 51 95 36 70",http://www.lechateaudolonne.fr,mairie
mairie-85194-03,Mairie déléguée - Olonne-sur-Mer,archives@olonnesurmer.fr,"Adresse : Olonne-sur-Mer - Rue des Sables - BP 23437,85340,Les Sables-d'Olonne | Tél : 02 51 95 30 02 | Fax : 02 51 33 16 44",http://www.olonnesurmer.fr,mairie
mairie-85196-01,Mairie - Saint-André-Goule-d'Oie,accueil@sago.fr,"Adresse : 13 rue de la Madone,85250,Saint-André-Goule-d'Oie | Tél : 02 51 42 60 61 | Fax : 02 51 43 82 45",http://www.sago.fr,mairie
mairie-85197-01,Mairie - Montréverd,mairie@montreverd.fr,"Adresse : Saint-André-Treize-Voies - 1 rue de la Mairie,85260,Montréverd | Tél : 02 51 42 80 65 | Fax : 02 51 42 82 13",http://www.montreverd.fr,mairie
mairie-85198-01,Mairie - Saint-Aubin-des-Ormeaux,accueil@saintaubindesormeaux.fr,"Adresse : Place Paul-Baudry,85130,Saint-Aubin-des-Ormeaux | Tél : 02 51 65 62 49 | Fax : 02 51 65 67 23",http://www.saintaubindesormeaux.fr,mairie
mairie-85199-01,Mairie - Saint-Aubin-la-Plaine,mairie.staubinlaplaine@wanadoo.fr,"Adresse : 1 rue de la Mairie,85210,Saint-Aubin-la-Plaine | Tél : 02 51 27 35 17 | Fax : 02 51 28 84 26",http://www.saintaubinlaplaine.com,mairie
mairie-85200-01,Mairie - Saint-Avaugourd-des-Landes,saint.avaugourd.des.landes@wanadoo.fr,"Adresse : 16 rue Évariste-Febvre,85540,Saint-Avaugourd-des-Landes | Tél : 02 51 98 94 11 | Fax : 02 51 98 99 92",http://www.saint-avaugourd-des-landes.fr,mairie
mairie-85201-01,Mairie - Saint-Benoist-sur-Mer,mairie-saint-benoist-sur-mer@wanadoo.fr,"Adresse : 2 place de la Mairie,85540,Saint-Benoist-sur-Mer | Tél : 02 51 30 84 56 | Fax : 02 51 30 88 78",http://www.saintbenoistsurmer.fr,mairie
mairie-85204-01,Mairie - Saint-Christophe-du-Ligneron,contact@mairie-scdl.fr,"Adresse : 6 place de la Mairie,85670,Saint-Christophe-du-Ligneron | Tél : 02 51 93 30 23 | Fax : 02 51 35 63 18",http://www.saint-christophe-du-ligneron.fr,mairie
mairie-85205-01,Mairie - Saint-Cyr-des-Gâts,mairie.stcyrdesgats@wanadoo.fr,"Adresse : 6 rue de la Huguenoterie,85410,Saint-Cyr-des-Gâts | Tél : 02 51 00 13 02 | Fax : 02 51 87 79 64",,mairie
mairie-85206-01,Mairie - Saint-Cyr-en-Talmondais,mairiestcyrentalmondais@wanadoo.fr,"Adresse : 3 rue de la Tillauderie,85540,Saint-Cyr-en-Talmondais | Tél : 02 51 30 82 82 | Fax : 02 51 30 88 29",http://www.saint-cyr-en-talmondais.fr,mairie
mairie-85207-01,Mairie - Saint-Denis-du-Payré,accueil@stdenispayre.fr,"Adresse : Place du 8-Mai,85580,Saint-Denis-du-Payré | Tél : 02 51 27 20 28 | Fax : 02 51 27 27 74",http://www.cc-sudvendeelittoral.fr,mairie
mairie-85208-01,Mairie - Saint-Denis-la-Chevasse,contact@saintdenislachevasse.fr,"Adresse : 6 rue Abbé-Pierre-Arnaud,85170,Saint-Denis-la-Chevasse | Tél : 02 51 41 48 48 | Fax : 02 51 41 48 49",http://www.saintdenislachevasse.fr,mairie
mairie-85209-01,Mairie - Saint-Étienne-de-Brillouet,mairie.saintetiennedebrillouet@orange.fr,"Adresse : 48 rue de la Mairie,85210,Saint-Étienne-de-Brillouet | Tél : 02 51 27 62 91 | Fax : 02 51 27 64 24",,mairie
mairie-85211-01,Mairie - Sainte-Flaive-des-Loups,mairie@steflaivedesloups.fr,"Adresse : 11 rue de la Mairie,85150,Sainte-Flaive-des-Loups | Tél : 02 51 34 02 55 | Fax : 02 51 34 06 19",http://www.steflaivedesloups.fr,mairie
mairie-85215-01,Mairie - Saint-Fulgent,mairie@saint-fulgent.fr,"Adresse : 20 rue Nationale - CS 26005,85250,Saint-Fulgent | Tél : 02 51 42 62 26 | Fax : 02 51 43 82 19",http://www.saint-fulgent.fr,mairie
mairie-85216-01,Mairie - Sainte-Gemme-la-Plaine,accueil@saintegemmelaplaine.fr,"Adresse : 3 rue de la Mairie,85400,Sainte-Gemme-la-Plaine | Tél : 02 51 27 02 01 | Fax : 02 51 27 05 52",http://www.saintegemmelaplaine.fr,mairie
mairie-85218-01,Mairie - Saint-Georges-de-Pointindoux,mairie@saintgeorgesdepointindoux.fr,"Adresse : 10 rue de l'Auzance,85150,Saint-Georges-de-Pointindoux | Tél : 02 51 38 60 56 | Fax : 02 51 05 93 56",http://www.saintgeorgesdepointindoux.fr,mairie
mairie-85220-01,Mairie - Saint-Germain-de-Prinçay,mairie@stgermaindeprincay.fr,"Adresse : Place de la Mairie,85110,Saint-Germain-de-Prinçay | Tél : 02 51 40 43 82 | Fax : ",http://stgermaindeprincay.fr,mairie
mairie-85222-01,Mairie - Saint-Gilles-Croix-de-Vie,info@saintgillescroixdevie.fr,"Adresse : 86 quai de la République - BP 639,85806,Saint-Gilles-Croix-de-Vie Cedex | Tél : 02 51 55 79 79 | Fax : 02 51 55 42 21",http://www.saintgillescroixdevie.fr,mairie
mairie-85223-01,Mairie - Sainte-Hermine,contact@sainte-hermine.fr,"Adresse : 22 route de Nantes,85210,Sainte-Hermine | Tél : 02 51 97 89 49 | Fax : 02 51 27 34 87",http://www.sainte-hermine.fr,mairie
mairie-85226-01,Mairie - Saint-Hilaire-de-Riez,secretariatgeneral@sainthilairederiez.fr,"Adresse : Rue de l'Égalité - BP 49,85270,Saint-Hilaire-de-Riez | Tél : 02 51 59 94 00 | Fax : 01 57 67 93 01",http://www.sainthilairederiez.fr,mairie
mairie-85227-01,Mairie - Saint-Hilaire-des-Loges,st-hilaire-des-loges@wanadoo.fr,"Adresse : Rue Charles-Fradin - BP 5,85240,Saint-Hilaire-des-Loges | Tél : 02 51 52 10 23 | Fax : 02 51 52 12 85",http://www.st-hilaire-des-loges.fr,mairie
mairie-85229-01,Mairie - Saint-Hilaire-de-Voust,mairiesainthilairedevoust@orange.fr,"Adresse : 21 rue de la Mairie,85120,Saint-Hilaire-de-Voust | Tél : 02 51 00 40 13 | Fax : 02 51 00 41 95",http://www.sthilairedevoust.fr,mairie
mairie-85231-01,Mairie - Saint-Hilaire-la-Forêt,mairiedesthilairelaforet@wanadoo.fr,"Adresse : 6 rue Georges-Clemenceau,85440,Saint-Hilaire-la-Forêt | Tél : 02 51 33 32 28 | Fax : 02 51 33 23 21",http://www.sainthilairelaforet.com,mairie
mairie-85232-01,Mairie - Saint-Hilaire-le-Vouhis,mairie-st-hilaire-levouhis@wanadoo.fr,"Adresse : 1 place de la Mairie,85480,Saint-Hilaire-le-Vouhis | Tél : 02 51 46 84 93 | Fax : 02 51 46 99 17",,mairie
mairie-85233-01,Mairie - Saint-Jean-de-Beugné,mairiestjeandebeugne@wanadoo.fr,"Adresse : 22 route des Mottes,85210,Saint-Jean-de-Beugné | Tél : 02 51 27 37 36 | Fax : 02 51 28 84 19",http://www.saintjeandebeugne.fr,mairie
mairie-85234-01,Mairie - Saint-Jean-de-Monts,mairie@mairie-saintjeandemonts.fr,"Adresse : 18 rue de la Plage - BP 706,85167,Saint-Jean-de-Monts Cedex | Tél : 02 51 59 97 00 | Fax : 02 51 58 20 87",http://www.saintjeandemonts.fr,mairie
mairie-85235-01,Mairie - Saint-Juire-Champgillon,mairie-st-juire-champgillon@orange.fr,"Adresse : 3 place de la Mairie,85210,Saint-Juire-Champgillon | Tél : 02 51 27 82 04 | Fax : 02 51 27 87 75",,mairie
mairie-85236-01,Mairie - Saint-Julien-des-Landes,mairie@stjuliendeslandes.fr,"Adresse : 1 place de la Mairie,85150,Saint-Julien-des-Landes | Tél : 02 51 46 62 15 | Fax : 02 51 46 64 04",http://www.stjuliendeslandes.fr,mairie
mairie-85237-01,Mairie - Saint-Laurent-de-la-Salle,stlaurent.mairie@wanadoo.fr,"Adresse : 7 Grand'rue,85410,Saint-Laurent-de-la-Salle | Tél : 02 51 00 12 01 | Fax : 02 51 00 15 56",,mairie
mairie-85238-01,Mairie - Saint-Laurent-sur-Sèvre,mairie@saintlaurentsursevre.fr,"Adresse : Place de la Mairie,85290,Saint-Laurent-sur-Sèvre | Tél : 02 51 67 81 44 | Fax : 02 51 67 81 41",http://www.saintlaurentsursevre.fr,mairie
mairie-85239-01,Mairie - Saint-Maixent-sur-Vie,mairiestmaixentsurvie@wanadoo.fr,"Adresse : Place de l'Église,85220,Saint-Maixent-sur-Vie | Tél : 02 51 55 27 83 | Fax : 02 51 54 10 31",http://communesaintmaixentsurvie.fr,mairie
mairie-85240-01,Mairie - Saint-Malô-du-Bois,mairie@saintmalodubois.com,"Adresse : Place du Souvenir,85590,Saint-Malô-du-Bois | Tél : 02 51 92 33 32 | Fax : 02 51 92 38 65",http://www.saintmalodubois.com,mairie
mairie-85242-01,Mairie - Saint-Mars-la-Réorthe,mairie-smlr@wanadoo.fr,"Adresse : Place Charles-Gaschignard,85590,Saint-Mars-la-Réorthe | Tél : 02 51 57 33 76 | Fax : 02 51 57 39 90",http://www.saintmarslareorthe.fr,mairie
mairie-85243-01,Mairie - Brem-sur-Mer,mairie@brem-sur-mer.fr,"Adresse : Place du 18-Juin-01940,85470,Brem-sur-Mer | Tél : 02 51 90 55 16 | Fax : 02 51 90 93 56",http://www.brem-sur-mer.fr,mairie
mairie-85244-01,Mairie - Saint-Martin-de-Fraigneau,mairie.stmartindefraigneau@wanadoo.fr,"Adresse : 25 rue des Platanes,85200,Saint-Martin-de-Fraigneau | Tél : 02 51 53 06 91 | Fax : 02 51 53 02 07",,mairie
mairie-85245-01,Mairie - Saint-Martin-des-Fontaines,st-martin-des-fontaines.mairie@wanadoo.fr,"Adresse : 20 rue de la Mairie,85570,Saint-Martin-des-Fontaines | Tél : 02 51 00 10 74 | Fax : ",,mairie
mairie-85246-01,Mairie - Saint-Martin-des-Noyers,mairie-de-st-martin-des-noyers-85@wanadoo.fr,"Adresse : 28 rue de l'Église,85140,Saint-Martin-des-Noyers | Tél : 02 51 07 82 60 | Fax : 02 51 07 85 99",http://www.saintmartindesnoyers.fr,mairie
mairie-85247-01,Mairie - Saint-Martin-des-Tilleuls,mairie@st-martin-des-tilleuls.fr,"Adresse : 1 rue des Glycines,85130,Saint-Martin-des-Tilleuls | Tél : 02 51 65 61 27 | Fax : 02 51 65 67 66",http://www.st-martin-des-tilleuls.fr,mairie
mairie-85248-01,Mairie - Saint-Martin-Lars-en-Sainte-Hermine,mairie.stmartinlars85@wanadoo.fr,"Adresse : 13 rue de la Mairie,85210,St-Martin-Lars-en-Ste-Hermine | Tél : 02 51 27 80 33 | Fax : 02 51 27 83 73",http://www.saintmartinlars.com,mairie
mairie-85250-01,Mairie - Saint-Mathurin,mairie@saint-mathurin.com,"Adresse : Place de la Mairie,85150,Saint-Mathurin | Tél : 02 51 22 78 08 | Fax : 02 51 22 72 69",http://www.saint-mathurin.com,mairie
mairie-85251-01,Mairie - Saint-Maurice-des-Noues,cybercentre.maurice.noues@orange.fr,"Adresse : 11 rue de la Mairie,85120,Saint-Maurice-des-Noues | Tél : 02 51 00 81 16 | Fax : 02 51 00 89 82",http://www.paysdelachataigneraie.org,mairie
mairie-85252-01,Mairie - Saint-Maurice-le-Girard,mairie-mauricegirard@wanadoo.fr,"Adresse : 14 rue Bellevue,85390,Saint-Maurice-le-Girard | Tél : 02 51 52 78 60 | Fax : 02 51 69 63 55",,mairie
mairie-85255-01,Mairie - Saint-Michel-en-l'Herm,mairie@stmichelherm.fr,"Adresse : 4 rue Paul-Berjonneau,85580,Saint-Michel-en-l'Herm | Tél : 02 51 30 22 03 | Fax : 02 51 30 28 05",http://www.sudvendeelittoral.fr,mairie
mairie-85256-01,Mairie - Saint-Michel-le-Cloucq,st-michel-le-cloucq.mairie@wanadoo.fr,"Adresse : Place de la Mairie,85200,Saint-Michel-le-Cloucq | Tél : 02 51 69 26 32 | Fax : 02 51 69 34 70",http://www.saintmichellecloucq.fr,mairie
mairie-85259-01,Mairie - Saint-Paul-en-Pareds,mairie@saintpaulenpareds.fr,"Adresse : 42 rue de l'Église,85500,Saint-Paul-en-Pareds | Tél : 02 51 92 03 20 | Fax : ",http://www.saintpaulenpareds.com,mairie
mairie-85260-01,Mairie - Saint-Paul-Mont-Penit,accueil.stpaul@orange.fr,"Adresse : 2 rue des Châtaigniers,85670,Saint-Paul-Mont-Penit | Tél : 02 51 98 51 73 | Fax : 02 51 98 53 51",https://www.saintpaulmontpenit.fr,mairie
mairie-85261-01,Mairie - Sainte-Pexine,mairie-sainte-pexine@wanadoo.fr,"Adresse : 4 rue du Pont,85320,Sainte-Pexine | Tél : 02 51 27 50 00 | Fax : 02 51 27 56 46",http://www.monclocher.com,mairie
mairie-85262-01,Mairie - Saint-Philbert-de-Bouaine,mairie@saintphilbertdebouaine.fr,"Adresse : 10 rue de la Mairie,85660,Saint-Philbert-de-Bouaine | Tél : 02 51 41 91 17 | Fax : 02 51 41 97 05",http://www.saintphilbertdebouaine.fr,mairie
mairie-85264-01,Mairie - Saint-Pierre-du-Chemin,mairie@saintpierreduchemin.fr,"Adresse : 1 rue des Comtes-d'Asnières,85120,Saint-Pierre-du-Chemin | Tél : 02 51 51 71 63 | Fax : 02 51 51 79 21",http://www.saintpierreduchemin.fr,mairie
mairie-85266-01,Mairie - Saint-Prouant,mairie@saintprouant.fr,"Adresse : 1 place de la Mairie,85110,Saint-Prouant | Tél : 02 51 66 40 60 | Fax : ",http://www.saintprouant.fr,mairie
mairie-85267-01,Mairie - Sainte-Radégonde-des-Noyers,mairie-ste-radegondaise@wanadoo.fr,"Adresse : 1 place de la Mairie,85450,Sainte-Radégonde-des-Noyers | Tél : 02 51 28 60 12 | Fax : 02 51 28 67 14",http://www.sainteradegondedesnoyers.fr,mairie
mairie-85268-01,Mairie - Saint-Révérend,accueil@mairie-saintreverend.fr,"Adresse : Rue du Maréchal-de-Lattre-de-Tassigny,85220,Saint-Révérend | Tél : 02 51 54 61 11 | Fax : 02 51 55 94 40",http://www.mairie-saintreverend.fr,mairie
mairie-85271-01,Mairie - Saint-Sulpice-en-Pareds,mairie.saintsulpice85410@gmail.com,"Adresse : 2 place de l'Église,85410,Saint-Sulpice-en-Pareds | Tél : 02 51 00 82 12 | Fax : ",,mairie
mairie-85276-01,Mairie - Saint-Vincent-Sterlanges,mairie.stvincentsterlanges@wanadoo.fr,"Adresse : 37 rue Nationale,85110,Saint-Vincent-Sterlanges | Tél : 02 51 40 21 71 | Fax : ",,mairie
mairie-85277-01,Mairie - Saint-Vincent-sur-Graon,mairie-stvincent.sur.graon@wanadoo.fr,"Adresse : 3 place de l'Église,85540,Saint-Vincent-sur-Graon | Tél : 02 51 98 90 89 | Fax : 02 51 98 99 14",http://www.saintvincentsurgraon.com,mairie
mairie-85278-01,Mairie - Saint-Vincent-sur-Jard,mairie@saintvincentsurjard.fr,"Adresse : Place Clément-Neau,85520,Saint-Vincent-sur-Jard | Tél : 02 51 33 41 17 | Fax : 02 51 33 90 49",http://www.mairiesaintvincentsurjard.fr,mairie
mairie-85280-01,Mairie - Sallertaine,accueil@sallertaine.fr,"Adresse : 38 rue de Verdun,85300,Sallertaine | Tél : 02 51 35 51 81 | Fax : 02 51 49 39 69",http://www.sallertaine.fr,mairie
mairie-85281-01,Mairie - Sérigné,mairie-serigne@wanadoo.fr,"Adresse : 31 rue de Fontenay,85200,Sérigné | Tél : 02 51 69 18 25 | Fax : ",http://www.serigne.fr,mairie
mairie-85282-01,Mairie - Sigournais,mairie.sigournais@wanadoo.fr,"Adresse : 2 rue de la Gare,85110,Sigournais | Tél : 02 51 40 44 56 | Fax : 02 51 40 41 09",http://www.sigournais.fr,mairie
mairie-85284-01,Mairie - Soullans,contact@soullans.fr,"Adresse : Rue de l'Océan,85300,Soullans | Tél : 02 51 68 00 24 | Fax : 02 51 68 88 66",http://www.soullans.fr,mairie
mairie-85285-01,Mairie - Le Tablier,mairie.letablier@orange.fr,"Adresse : 20 rue Principale,85310,Le Tablier | Tél : 02 51 31 70 53 | Fax : ",http://www.letablier.fr,mairie
mairie-85286-01,Mairie - La Taillée,mairie.taillee@orange.fr,"Adresse : 61 rue du 8-Mai-01945,85450,La Taillée | Tél : 02 51 52 52 05 | Fax : 02 51 52 55 32",http://www.la-taillee.fr,mairie
