#id,name,request_email,notes,home_page,tag_string,valid_email,commune
agefiph-63113-01,Agefiph - Auvergne-Rhône-Alpes,auvergne-rhones-alpes@agefiph.asso.fr,"Adresse : Immeuble Gergovia - 65 boulevard François-Mitterrand - 6e étage,63010,Clermont-Ferrand | Tél : 08 00 11 10 09 / Numéro vert : service et appel gratuits. | Fax : 04 73 34 76 93",http://www.agefiph.fr,agefiph,True,Clermont-Ferrand
mairie-03015-01,Mairie - Bagneux,mairie-bagneux@pays-allier.com,"Adresse : 1 Grand'rue, 3460, Bagneux | Tél : 04 70 43 30 62 | Fax : 04 70 43 30 62",,mairie,True,Bagneux
mairie-54041-01,Mairie - Bagneux,mairie.bagneux54@gmail.com,"Adresse : 7 rue de la Mairie,54170,Bagneux | Tél : 03 83 52 09 93 | Fax : ",http://bagneux54.org,mairie,True,Bagneux
mairie-36011-01,Mairie - Bagneux,mairie5@wanadoo.fr,"Adresse : 5 rue Fontaine-Saint-Clair,36210,Bagneux | Tél : 02 54 40 63 53 | Fax : 02 54 40 69 89",,mairie,True,Bagneux
mairie-69017-01,Mairie - Bagnols,mairie@bagnols.org,"Adresse : Place de la Mairie,69620,Bagnols | Tél : 04 74 71 70 17 | Fax : 04 74 71 85 23",http://www.bagnols.net,mairie,True,Bagnols
mairie-63028-01,Mairie - Bagnols,mairie.bagnols63@wanadoo.fr,"Adresse : Le Bourg,63810,Bagnols | Tél : 04 73 22 20 04 | Fax : ",http://www.bagnols63.fr,mairie,True,Bagnols
mairie-28019-01,Mairie - Baigneaux,mairie-de-baigneaux@orange.fr,"Adresse : 7 rue de Patay, 28140, Baigneaux | Tél : 02 37 99 44 06 | Fax : ",,mairie,True,Baigneaux
mairie-33025-01,Mairie - Baigneaux,communede.baigneaux@wanadoo.fr,"Adresse : 2 rue Yvonne-de-la-Seiglière,33760,Baigneaux | Tél : 05 56 23 97 50 | Fax : 05 56 23 97 50",,mairie,True,Baigneaux
mairie-61023-01,Mairie - Bailleul,commune-de-bailleul@wanadoo.fr,"Adresse : La Croix,601160,Bailleul | Tél : 02 33 67 03 51 | Fax : ",,mairie,True,Bailleul
mairie-80051-01,Mairie - Bailleul,bailleul.mairie@wanadoo.fr,"Adresse : 1 rue de Bellifontaine,80490,Bailleul | Tél : 03 22 28 60 48 | Fax : 03 22 28 60 48",,mairie,True,Bailleul
mairie-59043-01,Mairie - Bailleul,mairie@ville-bailleul.fr,"Adresse : 16 Grande place du Général-de-Gaulle - BP 9,59270,Bailleul | Tél : 03 28 50 06 00 | Fax : 03 28 50 06 01",http://www.ville-bailleul.fr,mairie,True,Bailleul
mairie-78043-01,Mairie - Bailly,mairie@mairie-bailly.fr,"Adresse : 1 rue des Chênes,78870,Bailly | Tél : 01 30 80 07 55 | Fax : ",http://www.mairie-bailly.fr,mairie,True,Bailly
mairie-60043-01,Mairie - Bailly,mairie.bailly60@orange.fr,"Adresse : 1 rue du Fort,60170,Bailly | Tél : 03 44 75 22 11 | Fax : 03 44 75 39 60",,mairie,True,Bailly
mairie-35014-01,Mairie - Bais,mairie-de-bais@wanadoo.fr,"Adresse : 10 rue du Chanvre,35680,Bais | Tél : 02 99 76 30 26 | Fax : 02 99 76 50 22",http://www.bais35.fr,mairie,True,Bais
mairie-53016-01,Mairie - Bais,bais53@wanadoo.fr,"Adresse : 2 avenue Auguste-Janvier - BP 1,53160,Bais | Tél : 02 43 37 90 38 | Fax : 02 43 37 01 81",http://www.bais.mairie53.fr,mairie,True,Bais
mairie-08043-01,Mairie - Balan,balan08@wanadoo.fr,"Adresse : 1 place de la Mairie - BP 1, 8200, Balan | Tél : 03 24 27 18 06 | Fax : ",,mairie,True,Balan
mairie-01027-01,Mairie - Balan,infos@ville-balan.fr,"Adresse : 1 place de la Mairie, 01360, Balan | Tél : 04 78 06 19 24 | Fax : 04 78 06 41 26",http://www.ville-balan.fr,mairie,True,Balan
mairie-57048-01,Mairie - Bannay,commune.de.bannay57@orange.fr,"Adresse : Rue Principale,57220,Bannay | Tél : 03 87 52 17 19 | Fax : ",,mairie,True,Bannay
mairie-18020-01,Mairie - Bannay,mairie@mairie-bannay18.fr,"Adresse : 24 rue du Village, 018300, Bannay | Tél : 02 48 72 41 69 | Fax : 02 48 72 38 25",http://www.mairie-bannay18.fr,mairie,True,Bannay
mairie-51035-01,Mairie - Bannes,mairie.bannes51@orange.fr,"Adresse : 30 rue des Courtieux,501230,Bannes | Tél : 03 26 42 07 61 | Fax : 03 26 42 07 61",,mairie,True,Bannes
mairie-52037-01,Mairie - Bannes,mairie.bannes@orange.fr,"Adresse : 6 rue de l'École,52360,Bannes | Tél : 03 25 84 08 84 | Fax : ",,mairie,True,Bannes
mairie-46017-01,Mairie - Bannes,mairiebanneslot@wanadoo.fr,"Adresse : Le Bourg,46400,Bannes | Tél : 05 65 11 21 93 | Fax : 05 65 11 21 93",http://www.bannes-lot.fr,mairie,True,Bannes
mairie-53019-01,Mairie - Bannes,mairie-bannes@wanadoo.fr,"Adresse : 1 place de la Mairie,53340,Bannes | Tél : 02 43 90 56 91 | Fax : 02 43 64 32 91",,mairie,True,Bannes
mairie-60045-01,Mairie - Barbery,mairiedebarbery@wanadoo.fr,"Adresse : 1 rue du Puits,60810,Barbery | Tél : 03 44 54 41 13 | Fax : 03 44 54 45 20",,mairie,True,Barbery
mairie-14039-01,Mairie - Barbery,mairiebarbery@orange.fr,"Adresse : Route de la Suisse-Normande, 014220, Barbery | Tél : 02 31 78 31 05 | Fax : ",,mairie,True,Barbery
mairie-08048-01,Mairie - Barby,barbyvillage@wanadoo.fr,"Adresse : 18 rue Gerson, 8300, Barby | Tél : 03 24 38 34 27 | Fax : ",,mairie,True,Barby
mairie-73030-01,Mairie - Barby,mairie@barby73.fr,"Adresse : Place de la Mairie,73230,Barby | Tél : 04 79 33 08 51 | Fax : 04 79 71 31 22",http://www.barby73.fr,mairie,True,Barby
mairie-43019-01,Mairie - Barges,mairiedebarges@9business.fr,"Adresse : Barges-Bas,43340,Barges | Tél : 04 71 08 29 70 | Fax : ",,mairie,True,Barges
mairie-21048-01,Mairie - Barges,secretariat@barges.fr,"Adresse : 5 Grande rue, 201910, Barges | Tél : 03 80 36 61 02 | Fax : 03 80 36 61 02",http://www.barges.fr,mairie,True,Barges
mairie-48018-01,Mairie - Barjac,mairie-de-barjac48@wanadoo.fr,"Adresse : 1 place de la Mairie,48000,Barjac | Tél : 04 66 47 01 04 | Fax : 04 66 47 09 85",,mairie,True,Barjac
mairie-30029-01,Mairie - Barjac,mairie.barjac@wanadoo.fr,"Adresse : Le Château,30430,Barjac | Tél : 04 66 24 50 09 | Fax : 04 66 24 54 36",http://www.barjac.fr,mairie,True,Barjac
mairie-09037-01,Mairie - Barjac,barjac.mairie@wanadoo.fr,"Adresse : Village, 9230, Barjac | Tél : 05 61 96 52 55 | Fax : ",,mairie,True,Barjac
mairie-62084-01,Mairie - Barly,mairie.barly@wanadoo.fr,"Adresse : 8 rue de Fosseux,62810,Barly | Tél : 03 21 59 03 08 | Fax : 03 21 55 57 18",,mairie,True,Barly
mairie-80055-01,Mairie - Barly,mairie.barly@laposte.net,"Adresse : 6 place de la Mairie,80600,Barly | Tél : 03 22 77 24 40 | Fax : ",,mairie,True,Barly
mairie-60047-01,Mairie - Baron,mairie.baron60@gmail.com,"Adresse : 6 rue de Russons,60300,Baron | Tél : 03 44 54 20 55 | Fax : ",http://www.mairiedebaron.fr,mairie,True,Baron
mairie-33028-01,Mairie - Baron,mairie-baron@wanadoo.fr,"Adresse : 16 le Bourg,33750,Baron | Tél : 05 57 24 26 32 | Fax : 05 57 24 17 05",http://baron33.blogspot.com,mairie,True,Baron
mairie-30030-01,Mairie - Baron,baron.mairie@wanadoo.fr,"Adresse : 1 place Ulysse-Dumas,30700,Baron | Tél : 04 66 22 04 69 | Fax : 09 70 29 38 37",,mairie,True,Baron
mairie-71021-01,Mairie - Baron,commune.de.baron@wanadoo.fr,"Adresse : Le Bourg,701120,Baron | Tél : 03 85 24 21 67 | Fax : ",http://www.mairie-baron.fr/,mairie,True,Baron
mairie-24025-01,Mairie - Bars,mairie.bars24@orange.fr,"Adresse : Le Bourg, 24210, Bars | Tél : 05 53 05 21 44 | Fax : 05 53 46 43 05",http://www.barsenperigord.fr,mairie,True,Bars
mairie-32030-01,Mairie - Bars,mairiedebars@orange.fr,"Adresse : Village,32300,Bars | Tél : 05 62 66 70 55 | Fax : ",,mairie,True,Bars
mairie-26027-01,Mairie - Barsac,mairie.barsac@orange.fr,"Adresse : 6 route du Village, 26150, Barsac | Tél : 04 75 21 71 58 | Fax : ",,mairie,True,Barsac
mairie-33030-01,Mairie - Barsac,mairie@barsac.fr,"Adresse : 23 place Paul-Doumer,33720,Barsac | Tél : 05 56 27 43 00 | Fax : 05 56 27 43 01",http://www.barsac.fr,mairie,True,Barsac
mairie-27042-01,Mairie - Barville,barville.mairie@orange.fr,"Adresse : 180 allée des Sapins, 27230, Barville | Tél : 02 32 45 37 13 | Fax : 02 32 44 89 72",,mairie,True,Barville
mairie-88036-01,Mairie - Barville,mairiebarville88@orange.fr,"Adresse : 8 Grande rue,88300,Barville | Tél : 03 29 06 83 57 | Fax : 03 29 06 83 57",,mairie,True,Barville
mairie-61026-01,Mairie - Barville,mairie.barville@orange.fr,"Adresse : Le Bourg,601170,Barville | Tél : 09 65 38 85 68 | Fax : 02 33 27 62 49",,mairie,True,Barville
mairie-33032-01,Mairie - Bassens,contact@ville-bassens.fr,"Adresse : Hôtel de Ville - 42 avenue Jean-Jaurès,33530,Bassens | Tél : 05 57 80 81 57 | Fax : 05 57 80 81 58",http://www.ville-bassens.fr,mairie,True,Bassens
mairie-73031-01,Mairie - Bassens,mairie@bassens-savoie.fr,"Adresse : 297 route de la Ferme,73000,Bassens | Tél : 04 79 70 47 17 | Fax : 04 79 85 45 96",http://www.bassens-savoie.fr,mairie,True,Bassens
mairie-50033-01,Mairie - Baubigny,mairie.baubigny50@orange.fr,"Adresse : Le Village-de-l'Église,50270,Baubigny | Tél : 02 33 52 06 32 | Fax : ",,mairie,True,Baubigny
mairie-21050-01,Mairie - Baubigny,mairie.baubigny@ozone.net,"Adresse : Hameau d'Evelles - 24 rue des Écoles, 201340, Baubigny | Tél : 06 58 58 68 36 | Fax : ",http://www.baubigny.fr,mairie,True,Baubigny
mairie-52039-01,Mairie - Baudrecourt,mairie.baudrecourt@orange.fr,"Adresse : 2 place de la Mairie,52110,Baudrecourt | Tél : 03 25 55 61 53 | Fax : ",,mairie,True,Baudrecourt
mairie-57054-01,Mairie - Baudrecourt,mairie.baudrecourt57@wanadoo.fr,"Adresse : 2 rue de la Grotte,57580,Baudrecourt | Tél : 03 87 01 92 79 | Fax : ",http://www.mairie-baudrecourt-moselle.fr,mairie,True,Baudrecourt
mairie-60048-01,Mairie - Baugy,mairie.baugy.oise@wanadoo.fr,"Adresse : 40 rue Saint-Médard,60113,Baugy | Tél : 03 44 42 47 32 | Fax : 03 44 42 47 32",,mairie,True,Baugy
mairie-18023-01,Mairie - Baugy,mairie-baugy@wanadoo.fr,"Adresse : 1 rue du Chancelier, 018800, Baugy | Tél : 02 48 26 15 28 | Fax : 02 48 26 10 36",http://www.baugy18.fr,mairie,True,Baugy
mairie-71024-01,Mairie - Baugy,mairiebaugy71@wanadoo.fr,"Adresse : Le Bourg,701110,Baugy | Tél : 03 85 25 21 56 | Fax : ",,mairie,True,Baugy
mairie-51042-01,Mairie - Baye,communedebaye@wanadoo.fr,"Adresse : 44 Grand'rue,501270,Baye | Tél : 03 26 52 80 27 | Fax : 03 26 53 13 59",,mairie,True,Baye
mairie-29005-01,Mairie - Baye,mairiebaye@wanadoo.fr,"Adresse : 44 route de l'Isle, 29300, Baye | Tél : 02 98 96 80 12 | Fax : 02 98 96 19 61",http://www.baye.fr,mairie,True,Baye
mairie-51043-01,Mairie - Bazancourt,commune-bazancourt51@wanadoo.fr,"Adresse : Place de la Mairie,501110,Bazancourt | Tél : 03 26 91 10 00 | Fax : 03 26 91 18 89",http://www.bazancourt51.fr,mairie,True,Bazancourt
mairie-60049-01,Mairie - Bazancourt,mairie.bazancourt@wanadoo.fr,"Adresse : 1 rue Principale,60380,Bazancourt | Tél : 03 44 82 77 35 | Fax : ",,mairie,True,Bazancourt
mairie-30032-01,Mairie - Beaucaire,accueil@beaucaire.fr,"Adresse : Place Georges-Clemenceau - BP 134,30302,Beaucaire | Tél : 04 66 59 10 06 | Fax : 04 66 59 30 40",,mairie,True,Beaucaire
mairie-32035-01,Mairie - Beaucaire,mairiebeaucaire32@orange.fr,"Adresse : Le Village,32410,Beaucaire | Tél : 05 62 68 15 08 | Fax : 05 62 68 15 08",,mairie,True,Beaucaire
mairie-80063-01,Mairie - Beauchamps,mairie.beauchamps80@wanadoo.fr,"Adresse : 1 rue de la Mairie,80770,Beauchamps | Tél : 03 22 26 13 11 | Fax : 03 22 30 11 79",http://www.beauchamps.fr,mairie,True,Beauchamps
mairie-50038-01,Mairie - Beauchamps,communedebeauchamps@orange.fr,"Adresse : 3 place de l'Église,50320,Beauchamps | Tél : 02 33 61 31 18 | Fax : ",,mairie,True,Beauchamps
mairie-73034-01,Mairie - Beaufort,commune.beaufort@mairie-beaufort73.com,"Adresse : 24 place du Château-de-Randens - BP 2,73270,Beaufort | Tél : 04 79 38 33 15 | Fax : 04 79 38 35 17",http://www.mairie-beaufort73.com,mairie,True,Beaufort
mairie-38032-01,Mairie - Beaufort,commune.beaufort38@wanadoo.fr,"Adresse : 22 place du Village,38270,Beaufort | Tél : 04 74 84 63 00 | Fax : ",,mairie,True,Beaufort
mairie-31051-01,Mairie - Beaufort,mairiebeaufort@orange.fr,"Adresse : 69 place du 19-Mars-01962,301370,Beaufort | Tél : 05 61 91 80 04 | Fax : ",http://www.mairie-beaufort31.fr,mairie,True,Beaufort
mairie-59058-01,Mairie - Beaufort,mairie.beaufort@wanadoo.fr,"Adresse : 25 rue Aristide-Briand,59330,Beaufort | Tél : 03 27 67 86 02 | Fax : 03 27 63 50 80",http://mairie-beaufort.fr,mairie,True,Beaufort
mairie-34026-01,Mairie - Beaufort,mairie-beaufort@wanadoo.fr,"Adresse : 7 avenue du Général-de-Gaulle,34210,Beaufort | Tél : 04 68 91 23 35 | Fax : 04 68 91 64 87",,mairie,True,Beaufort
mairie-39043-01,Mairie - Beaufort,mairie-beaufort-39@wanadoo.fr,"Adresse : 1 place de l'Hôtel-de-Ville,39190,Beaufort | Tél : 03 84 25 00 89 | Fax : 03 84 25 14 31",http://www.beaufort-39.fr,mairie,True,Beaufort
mairie-04024-01,Mairie - Beaujeu,mairiedebeaujeu@yahoo.fr,"Adresse : Le Village, 4420, Beaujeu | Tél : 04 92 34 91 74 | Fax : 04 92 34 96 09",http://beaujeu04.fr,mairie,True,Beaujeu
mairie-69018-01,Mairie - Beaujeu,mairie@beaujeu.fr,"Adresse : Place de l'Hôtel-de-Ville,69430,Beaujeu | Tél : 04 74 04 87 75 | Fax : 04 74 69 23 09",http://www.beaujeu.fr,mairie,True,Beaujeu
mairie-21052-01,Mairie - Beaulieu,mairiedebeaulieu@alsatis.net,"Adresse : 2 Grande rue, 201510, Beaulieu | Tél : 03 80 93 90 21 | Fax : ",http://www.mairiedebeaulieu.com,mairie,True,Beaulieu
mairie-43021-01,Mairie - Beaulieu,beaulieu.mairie@wanadoo.fr,"Adresse : Route des Sucs,43800,Beaulieu | Tél : 04 71 08 53 60 | Fax : 04 71 08 17 87",http://www.beaulieu43.fr,mairie,True,Beaulieu
mairie-34027-01,Mairie - Beaulieu,accueil@mairiedebeaulieu.fr,"Adresse : 3 place de la Mairie,34160,Beaulieu | Tél : 04 67 86 60 28 | Fax : 04 67 86 56 03",http://www.mairiedebeaulieu.fr,mairie,True,Beaulieu
mairie-36015-01,Mairie - Beaulieu,mairie-beaulieu-36@wanadoo.fr,"Adresse : 3 rue de la Mairie,36310,Beaulieu | Tél : 02 54 25 73 46 | Fax : 02 54 25 67 14",,mairie,True,Beaulieu
mairie-61034-01,Mairie - Beaulieu,mairiebeaulieu@wanadoo.fr,"Adresse : Le Bourg,601190,Beaulieu | Tél : 02 33 25 70 41 | Fax : 02 33 25 70 41",,mairie,True,Beaulieu
mairie-58026-01,Mairie - Beaulieu,mairie.beaulieu58@wanadoo.fr,"Adresse : 28 rue Saint-Phalle,58420,Beaulieu | Tél : 03 86 29 08 69 | Fax : ",,mairie,True,Beaulieu
mairie-38033-01,Mairie - Beaulieu,beaulieu38@wanadoo.fr,"Adresse : 1 place de la Mairie,38470,Beaulieu | Tél : 04 76 36 71 97 | Fax : 04 76 36 65 32",,mairie,True,Beaulieu
mairie-07028-01,Mairie - Beaulieu,mairie.beaulieu@inforoutes-ardeche.fr,"Adresse : Place de la Mairie, 7460, Beaulieu | Tél : 04 75 39 32 06 | Fax : 04 75 39 32 06",https://www.mairie-beaulieu.fr/,mairie,True,Beaulieu
mairie-63031-01,Mairie - Beaulieu,commune-beaulieu@wanadoo.fr,"Adresse : 1 place de la Mairie,63570,Beaulieu | Tél : 04 73 71 63 76 | Fax : 04 73 71 63 76",,mairie,True,Beaulieu
mairie-07029-01,Mairie - Beaumont,mairie-beaumont07@orange.fr,"Adresse : Le Village, 7110, Beaumont | Tél : 04 75 39 58 25 | Fax : 04 75 39 94 54",http://www.pays-beaumedrobie.com,mairie,True,Beaumont
mairie-63032-01,Mairie - Beaumont,contact@beaumont63.fr,"Adresse : 20 rue de lHôtel-de-Ville,63110,Beaumont | Tél : 04 73 28 88 00 | Fax : 04 73 28 88 09",http://www.beaumont63.fr,mairie,True,Beaumont
mairie-43022-01,Mairie - Beaumont,mairie.beaumont@wanadoo.fr,"Adresse : 2 place de la Mairie,43100,Beaumont | Tél : 04 71 50 04 50 | Fax : 04 71 50 04 50",,mairie,True,Beaumont
mairie-54057-01,Mairie - Beaumont,beaumont.mairie@wanadoo.fr,"Adresse : 8 Grande rue,54470,Beaumont | Tél : 03 83 23 18 74 | Fax : ",,mairie,True,Beaumont
mairie-32037-01,Mairie - Beaumont,mairie.beaumont32@orange.fr,"Adresse : Le Village,32100,Beaumont | Tél : 09 63 43 15 04 | Fax : 05 62 28 02 28",,mairie,True,Beaumont
mairie-74031-01,Mairie - Beaumont,accueil.mairie@beaumont74.fr,"Adresse : 1 parc de la Mairie - BP 5,74160,Beaumont | Tél : 04 50 04 40 58 | Fax : 04 50 04 48 44",http://www.beaumont74.fr,mairie,True,Beaumont
mairie-89031-01,Mairie - Beaumont,mairie@beaumont-89.fr,"Adresse : 4 rue des Écoles,89250,Beaumont | Tél : 03 86 47 70 11 | Fax : 03 86 47 97 69",https://www.yonne.fr/Ma-Commune/BEAUMONT-89250,mairie,True,Beaumont
mairie-19020-01,Mairie - Beaumont,mairie.beaumont4@wanadoo.fr,"Adresse : Le Bourg, 019390, Beaumont | Tél : 05 55 21 33 38 | Fax : 05 55 21 33 38",,mairie,True,Beaumont
mairie-53027-01,Mairie - Beaumont-Pied-de-Buf,mairie.beaumont.pied.de.boeuf@wanadoo.fr,"Adresse : 3 place Charles-Hérisson,53290,Beaumont-Pied-de-Buf | Tél : 02 43 70 82 74 | Fax : 09 70 06 65 50",http://www.beaumontpieddeboeuf.mairie53.fr,mairie,True,Beaumont-Pied-de-Buf
mairie-72028-01,Mairie - Beaumont-Pied-de-Buf,beaumontpieddeboeuf72@wanadoo.fr,"Adresse : 27 rue de la Tour,72500,Beaumont-Pied-de-Buf | Tél : 02 43 44 08 07 | Fax : 02 43 44 91 96",,mairie,True,Beaumont-Pied-de-Buf
mairie-32038-01,Mairie - Beaupuy,mairie-de-beaupuy@wanadoo.fr,"Adresse : Le Village,32600,Beaupuy | Tél : 05 62 65 73 76 | Fax : ",,mairie,True,Beaupuy
mairie-31053-01,Mairie - Beaupuy,mairie.beaupuy31@orange.fr,"Adresse : Route de Lavaur,301850,Beaupuy | Tél : 05 61 84 71 42 | Fax : 05 61 84 83 48",http://www.ville-beaupuy.fr,mairie,True,Beaupuy
mairie-82014-01,Mairie - Beaupuy,mairie-beaupuy@info82.com,"Adresse : Le Château,82600,Beaupuy | Tél : 05 63 02 52 87 | Fax : 05 63 02 53 78",,mairie,True,Beaupuy
mairie-47024-01,Mairie - Beaupuy,communebeaupuy.47@wanadoo.fr,"Adresse : 2 rue de l'École,47200,Beaupuy | Tél : 05 53 64 32 24 | Fax : 05 53 20 71 58",http://www.beaupuy47.com,mairie,True,Beaupuy
mairie-46020-01,Mairie - Beauregard,mairie-de-beauregard@alsatis.net,"Adresse : Place de la Halle,46260,Beauregard | Tél : 05 65 31 50 93 | Fax : 05 65 31 50 93",,mairie,True,Beauregard
mairie-01030-01,Mairie - Beauregard,contact@mairie-beauregard.fr,"Adresse : 99 rue Hector-Berlioz, 01480, Beauregard | Tél : 04 74 60 92 55 | Fax : 04 74 09 83 70",http://www.mairie-beauregard.fr,mairie,True,Beauregard
mairie-85017-01,Mairie - Beaurepaire,mairie@beaurepaire85.fr,"Adresse : 28 rue de la Promenade,85500,Beaurepaire | Tél : 02 51 91 02 24 | Fax : 02 51 91 00 91",http://www.mairie-beaurepaire85.fr,mairie,True,Beaurepaire
mairie-76064-01,Mairie - Beaurepaire,mairiebeaurepaire@wanadoo.fr,"Adresse : 1 rue du Carreau,76280,Beaurepaire | Tél : 02 35 27 01 17 | Fax : 09 70 63 25 84",http://www.mairie-beaurepaire.com,mairie,True,Beaurepaire
mairie-60056-01,Mairie - Beaurepaire,mairie.beaurepaire60@orange.fr,"Adresse : Château de Beaurepaire,60700,Beaurepaire | Tél : 03 44 58 93 40 | Fax : ",,mairie,True,Beaurepaire
mairie-38034-01,Mairie - Beaurepaire,mairie.beaurepaire@territoire-de-beaurepaire.fr,"Adresse : 28 rue Français,38270,Beaurepaire | Tél : 04 74 79 22 60 | Fax : 04 74 31 04 67",http://www.ville-beaurepaire.fr,mairie,True,Beaurepaire
mairie-02058-01,Mairie - Beaurieux,mairie41@wanadoo.fr,"Adresse : 12 rue du Pavé, 2160, Beaurieux | Tél : 03 23 20 80 41 | Fax : 03 23 25 67 42",,mairie,True,Beaurieux
mairie-59062-01,Mairie - Beaurieux,secretariat@mairiedebeaurieux.fr,"Adresse : 12 la Place,59740,Beaurieux | Tél : 03 27 61 61 63 | Fax : ",,mairie,True,Beaurieux
mairie-69179-01,Mairie - Beauvallon,accueil@beauvallon69.fr,"Adresse : Saint-Andéol-le-Château - Le Clos-Souchon - 54 rue Centrale,69700,Beauvallon | Tél : 04 78 81 21 49 | Fax : 04 78 81 29 50",http://www.st-andeol-le-chateau.fr,mairie,True,Beauvallon
mairie-26042-01,Mairie - Beauvallon,beauvallon.mairie@wanadoo.fr,"Adresse : 40 montée du Château, 26800, Beauvallon | Tél : 04 75 57 03 26 | Fax : 04 75 57 30 47",http://www.beauvallon.fr,mairie,True,Beauvallon
mairie-31055-01,Mairie - Beauville,mairiedebeauville@orange.fr,"Adresse : Le Village,301460,Beauville | Tél : 05 61 83 23 51 | Fax : ",,mairie,True,Beauville
mairie-47025-01,Mairie - Beauville,mairie.beauville47@orange.fr,"Adresse : Place Archambault-de-Vençay,47470,Beauville | Tél : 05 53 95 42 04 | Fax : 09 70 06 14 40",http://www.beauville-47.fr,mairie,True,Beauville
mairie-89032-01,Mairie - Beauvilliers,mairie.de.beauvilliers@wanadoo.fr,"Adresse : 14 rue de la Mairie,89630,Beauvilliers | Tél : 03 86 32 26 09 | Fax : 03 86 32 26 09",,mairie,True,Beauvilliers
mairie-28032-01,Mairie - Beauvilliers,beauvilliers28mairie@wanadoo.fr,"Adresse : 3 rue de Paris - BP 35, 28150, Beauvilliers | Tél : 02 37 99 07 16 | Fax : 02 37 99 15 33",http://www.beauvilliers28.frjoomla,mairie,True,Beauvilliers
mairie-60058-01,Mairie - Beauvoir,commune-de-beauvoir@wanadoo.fr,"Adresse : 1 place de Beauvoir,60120,Beauvoir | Tél : 03 44 80 12 82 | Fax : ",http://villagebeauvoir60.fr,mairie,True,Beauvoir
mairie-50042-01,Mairie - Beauvoir,beauvoir.mairie@wanadoo.fr,"Adresse : 2 rue Maurice-Desfeux,50170,Beauvoir | Tél : 02 33 60 08 51 | Fax : 02 33 60 53 76",,mairie,True,Beauvoir
mairie-89033-01,Mairie - Beauvoir,mairie.beauvoir@wanadoo.fr,"Adresse : 3 impasse de la Croix,89240,Beauvoir | Tél : 03 86 41 03 77 | Fax : 03 86 41 01 43",,mairie,True,Beauvoir
mairie-77029-01,Mairie - Beauvoir,beauvoir-mairie@wanadoo.fr,"Adresse : Rue du Fief,77390,Beauvoir | Tél : 01 64 06 19 58 | Fax : 01 64 06 24 22",,mairie,True,Beauvoir
mairie-26043-01,Mairie - Beauvoisin,mairiebeauvoisin@gmail.com,"Adresse : La Grange - 507 route de Buis, 26170, Beauvoisin | Tél : 04 75 28 02 71 | Fax : 04 75 28 02 71",http://www.beauvoisin-drome.fr,mairie,True,Beauvoisin
mairie-30033-01,Mairie - Beauvoisin,accueil@beauvoisin.fr,"Adresse : Hôtel de Ville - Rue de la Mairie,30640,Beauvoisin | Tél : 04 66 01 79 79 | Fax : 04 66 01 79 70",http://www.beauvoisin.fr,mairie,True,Beauvoisin
mairie-12024-01,Mairie - Belcastel,belcastel@mairie-belcastel.fr,"Adresse : Le Bourg, 012390, Belcastel | Tél : 05 65 64 52 25 | Fax : 05 65 64 52 92",http://www.mairie-belcastel.fr,mairie,True,Belcastel
mairie-81025-01,Mairie - Belcastel,mairie-belcastel@wanadoo.fr,"Adresse : Le Bourg,801500,Belcastel | Tél : 05 63 58 75 55 | Fax : 05 63 58 70 27",,mairie,True,Belcastel
mairie-02062-01,Mairie - Belleau,belleau.mairie@wanadoo.fr,"Adresse : 3 place du Général-Pershing, 2400, Belleau | Tél : 03 23 70 86 02 | Fax : ",,mairie,True,Belleau
mairie-54059-01,Mairie - Belleau,mairie.belleau@wanadoo.fr,"Adresse : 4 rue des Ailleux,54610,Belleau | Tél : 03 83 31 50 96 | Fax : 03 83 32 44 27",http://www.mairie-belleau.fr,mairie,True,Belleau
mairie-33044-01,Mairie - Bellefond,communedebellefond@orange.fr,"Adresse : Le Bourg,33760,Bellefond | Tél : 09 64 35 27 22 | Fax : 05 56 23 94 79",,mairie,True,Bellefond
mairie-21059-01,Mairie - Bellefond,mairie.bellefond21@wanadoo.fr,"Adresse : 7 rue des Écoles, 201490, Bellefond | Tél : 03 80 23 80 31 | Fax : 03 80 23 83 72",http://www.val-de-norge.fr/15-c-bellefond/144-bellefond-infos-mairie,mairie,True,Bellefond
mairie-88048-01,Mairie - Bellefontaine,mairiedebellefontaine@orange.fr,"Adresse : 192 Grande rue,88370,Bellefontaine | Tél : 03 29 30 12 04 | Fax : 03 29 39 56 73",http://www.bellefontaine.mairie.com,mairie,True,Bellefontaine
mairie-97234-01,Mairie - Bellefontaine,mairie@ville-bellefontaine.fr,"Adresse : Place Simon-Charles-François,97222,Bellefontaine | Tél : +596 5 96 55 00 96 | Fax : +596 5 96 55 00 58",,mairie,True,Bellefontaine
mairie-39047-01,Mairie - Bellefontaine,mairie.bellefontaine39@wanadoo.fr,"Adresse : 4301 route des Fontaines,39400,Bellefontaine | Tél : 03 84 33 08 61 | Fax : ",,mairie,True,Bellefontaine
mairie-95055-01,Mairie - Bellefontaine,mairiesecretariat@bellefontaine.fr,"Adresse : 1 rue des Sablons,95270,Bellefontaine | Tél : 01 34 71 01 76 | Fax : ",http://www.bellefontaine.fr,mairie,True,Bellefontaine
mairie-32041-01,Mairie - Bellegarde,communedebelgarde@wanadoo.fr,"Adresse : Le Village,32140,Bellegarde | Tél : 05 62 66 01 53 | Fax : ",,mairie,True,Bellegarde
