#id,name,request_email,notes,home_page,tag_string
mairie-71516-01,Mairie - Serley,mairie.serley@wanadoo.fr,"Adresse : Le Bourg, 71310,Serley | Tél : 03 85 76 12 40 | Fax : 03 85 76 16 75",http://www.serley71.fr,mairie
gendarmerie-74288-01,Brigade de gendarmerie - Valleiry,cob.cruseilles@gendarmerie.interieur.gouv.fr,"Adresse : 463 Route de Bellegarde,74520,Valleiry | Tél : 04 50 04 33 55 | Fax : ",http://www.gendarmerie.interieur.gouv.fr,gendarmerie
greta-74012-01,Greta - Lac (Leman-Annecy-Chablais),greta.lac@ac-grenoble.fr,"Adresse : 9 rue des Marronniers - BP 503,74105,Annemasse Cedex | Tél : 04 50 43 91 81 | Fax : 04 50 43 91 82",http://www.greta-lac.com,greta
greta-74042-01,Greta - Arve Faucigny - Siège de Bonneville,gretaaf@ac-grenoble.fr,"Adresse : 210 quai du Parquet - BP 125,74134,Bonneville Cedex | Tél : 04 50 25 15 15 | Fax : 04 50 25 15 16",http://www.arvefaucigny-greta.fr,greta
hypotheque-74010-01,Service de la publicité foncière et de l'enregistrement (SPF) - Annecy,spf.annecy@dgfip.finances.gouv.fr,"Adresse : Cité administrative - 7 rue Dupanloup,74040,Annecy Cedex | Tél : 04 50 88 47 75 | Fax : ",http://www.impots.gouv.fr,hypotheque
hypotheque-74042-01,Service de la publicité foncière (SPF) - Bonneville,spf.bonneville@dgfip.finances.gouv.fr,"Adresse : 45 rue Pierre-de-Coubertin - BP 131,74136,Bonneville Cedex | Tél : 04 50 25 64 80 | Fax : ",http://www.impots.gouv.fr,hypotheque
hypotheque-74281-01,Service de la publicité foncière (SPF) - Thonon-les-Bains,spf.thonon@dgfip.finances.gouv.fr,"Adresse : 36 rue Vallon - CS 30527,74203,Thonon-les-Bains Cedex | Tél : 04 50 26 79 40 | Fax : ",http://www.impots.gouv.fr,hypotheque
inspection_academique-74010-01,Direction des services départementaux de l'Éducation nationale (DSDEN) - Haute-Savoie,ce.dsden74@ac-grenoble.fr,"Adresse : Cité administrative - 7 rue Dupanloup,74000,Annecy | Tél : 04 50 88 41 58 | Fax : 04 50 51 47 36",http://www.ac-grenoble.fr/ia74/spip/,inspection_academique
maia-74010-01,Mission d'accueil et d'information des associations (Maia) - Haute-Savoie,ddcs@haute-savoie.gouv.fr,"Adresse : Direction départementale de la cohésion sociale - Cité administrative - 7, rue Dupanloup,74040,Annecy Cedex | Tél : 04 50 88 41 40 | Fax : 04 50 88 40 03",http://www.associations.gouv.fr,maia
mairie-74001-01,Mairie - Abondance,mairie.abondance@orange.fr,"Adresse : Chef-lieu - BP 1,74360,Abondance | Tél : 04 50 73 00 16 | Fax : 04 50 73 07 29",http://www.mairie-abondance.fr,mairie
mairie-74002-01,Mairie - Alby-sur-Chéran,accueil@mairie-alby-sur-cheran.fr,"Adresse : 4 rue Étroite,74540,Alby-sur-Chéran | Tél : 04 50 68 10 10 | Fax : 04 50 68 14 95",http://www.mairie-alby-sur-cheran.fr,mairie
mairie-74003-01,Mairie - Alex,mairie74@alex-village.com,"Adresse : Place de l'Église,74290,Alex | Tél : 04 50 02 87 05 | Fax : 04 50 02 83 52",http://www.alex-village.com,mairie
mairie-74004-01,Mairie - Allèves,info@mairie-alleves.fr,"Adresse : Place de la Mairie,74540,Allèves | Tél : 04 50 77 54 92 | Fax : ",http://alleves.fr,mairie
mairie-74005-01,Mairie - Allinges,accueil@allinges.fr,"Adresse : 53 rue du Crêt-Baron,74200,Allinges | Tél : 04 50 71 21 18 | Fax : 04 50 26 55 86",http://www.allinges.fr,mairie
mairie-74006-01,Mairie - Allonzier-la-Caille,mairie@allonzierlacaille.fr,"Adresse : 1 route de Sous-le-Mont,74350,Allonzier-la-Caille | Tél : 04 50 46 83 29 | Fax : 04 50 46 84 46",http://www.allonzierlacaille.fr,mairie
mairie-74007-01,Mairie - Amancy,mairie@amancy.fr,"Adresse : Chef-lieu,74800,Amancy | Tél : 04 50 03 03 13 | Fax : 04 50 25 11 77",http://www.amancy.fr,mairie
mairie-74008-01,Mairie - Ambilly,mairie@ambilly.fr,"Adresse : 2 rue de la Paix - BP 722,74111,Ambilly Cedex | Tél : 04 50 38 05 26 | Fax : ",http://www.ambilly.fr,mairie
mairie-74010-02,Mairie déléguée - Annecy-le-Vieux,mpsidimoussa@mairie-annecy-le-vieux.fr,"Adresse : Annecy-le-Vieux - Place Gabriel-Fauré - BP 249,74942,Annecy-le-Vieux Cedex | Tél : 04 50 23 86 00 | Fax : 04 50 23 89 93",http://www.annecylevieux.com,mairie
mairie-74010-03,Mairie déléguée - Cran-Gevrier,dgs@ville-crangevrier.fr,"Adresse : Cran-Gevrier - 46 avenue de la République - BP 16,74960,Annecy | Tél : 04 50 88 67 00 | Fax : ",http://www.ville-crangevrier.fr,mairie
mairie-74012-01,Mairie - Annemasse,accueil@annemasse.fr,"Adresse : Place de l'Hôtel-de-Ville - BP 530,74107,Annemasse Cedex | Tél : 04 50 95 07 00 | Fax : 04 50 95 07 01",http://www.annemasse.fr,mairie
mairie-74013-01,Mairie - Anthy-sur-Léman,accueil@anthy-sur-leman.fr,"Adresse : 7 rue de la Mairie,74200,Anthy-sur-Léman | Tél : 04 50 70 35 01 | Fax : 04 50 70 67 89",http://www.anthy-sur-leman.fr,mairie
mairie-74014-01,Mairie - Arâches-la-Frasse,accueil@aracheslafrasse.fr,"Adresse : 64 route de Frévuard,74300,Arâches-la-Frasse | Tél : 04 50 90 03 40 | Fax : 04 50 90 07 63",http://www.aracheslafrasse.fr,mairie
mairie-74015-01,Mairie - Arbusigny,mairie.arbusigny@wanadoo.fr,"Adresse : 83 impasse de l'Église,74930,Arbusigny | Tél : 04 50 94 50 01 | Fax : 04 50 94 59 80",http://www.arbusigny.fr,mairie
mairie-74016-01,Mairie - Archamps,accueil@mairie-archamps.fr,"Adresse : 1 place de la Mairie,74160,Archamps | Tél : 04 50 43 62 18 | Fax : 04 50 43 68 13",http://www.mairie-archamps.fr,mairie
mairie-74018-01,Mairie - Arenthon,commune.arenthon@orange.fr,"Adresse : 22 route de Reignier,74800,Arenthon | Tél : 04 50 25 51 87 | Fax : 09 70 62 36 70",http://www.arenthon.fr,mairie
mairie-74019-01,Mairie - Argonay,mairie@mairie-argonay.fr,"Adresse : 1 place Arthur-Lavy,74370,Argonay | Tél : 04 50 27 16 82 | Fax : 04 50 27 36 82",http://www.argonay.fr,mairie
mairie-74020-01,Mairie - Armoy,mairie@armoy.fr,"Adresse : 202 route Bois-de-la-Cour,74200,Armoy | Tél : 04 50 73 95 74 | Fax : 04 50 73 98 57",http://www.armoy.fr,mairie
mairie-74021-01,Mairie - Arthaz-Pont-Notre-Dame,mairie@arthazpnd.fr,"Adresse : 94 route de Pont-Notre-Dame,74380,Arthaz-Pont-Notre-Dame | Tél : 04 50 36 01 78 | Fax : 04 50 36 05 11",http://www.arthaz-pont-notre-dame.fr,mairie
mairie-74024-01,Mairie - Ayse,info@ayze.fr,"Adresse : 3 route de Marignier - BP 55,74130,Ayse | Tél : 04 50 97 04 21 | Fax : 04 50 25 28 42",http://www.ayze.fr,mairie
mairie-74025-01,Mairie - Ballaison,accueil@ballaison.fr,"Adresse : 79 route des Fées,74140,Ballaison | Tél : 04 50 94 18 71 | Fax : 04 50 94 30 27",http://www.ballaison.fr,mairie
mairie-74026-01,Mairie - La Balme-de-Sillingy,mairie@labalmedesillingy.fr,"Adresse : 13 route de Choisy - BP 44,74330,La Balme-de-Sillingy | Tél : 04 50 68 89 02 | Fax : ",http://www.labalmedesillingy.fr,mairie
mairie-74027-01,Mairie - La Balme-de-Thuy,mairie@labalmedethuy.fr,"Adresse : 14 place de la Mairie,74230,La Balme-de-Thuy | Tél : 04 50 02 16 89 | Fax : ",http://www.la-balme-de-thuy.fr,mairie
mairie-74029-01,Mairie - Bassy,mairie.bassy@wanadoo.fr,"Adresse : 107 route de l'Église,74910,Bassy | Tél : 04 50 59 01 09 | Fax : 04 50 56 10 70",,mairie
mairie-74030-01,Mairie - La Baume,mairie@la-baume.fr,"Adresse : Chef-lieu - 41 place du Village,74430,La Baume | Tél : 04 50 72 10 06 | Fax : 04 50 72 10 85",http://www.la-baume.fr,mairie
mairie-74032-01,Mairie - Bellevaux,secretariat@bellevaux.fr,"Adresse : Chef-lieu - 26 route de Thonon,74470,Bellevaux | Tél : 04 50 73 70 12 | Fax : 04 50 73 72 81",http://bellevaux.fr,mairie
mairie-74033-01,Mairie - Bernex,contact@mairie-bernex.net,"Adresse : 81 route de la Mairie,74500,Bernex | Tél : 04 50 73 60 40 | Fax : 04 50 73 65 21",http://www.mairie-bernex.net,mairie
mairie-74034-01,Mairie - Le Biot,mairie.lebiot@wanadoo.fr,"Adresse : Chef-lieu - 18 route de l'Église,74430,Le Biot | Tél : 04 50 72 12 06 | Fax : 04 50 72 10 15",http://www.lebiot.fr,mairie
mairie-74035-01,Mairie - Bloye,mairiebloye@wanadoo.fr,"Adresse : 60 place de l'Église,74150,Bloye | Tél : 04 50 01 43 27 | Fax : 04 50 01 43 28",http://www.bloye.fr,mairie
mairie-74036-01,Mairie - Bluffy,accueilbluffy@orange.fr,"Adresse : Place du Général-de-Gaulle,74290,Bluffy | Tél : 04 50 02 82 33 | Fax : 04 50 02 81 71",http://www.bluffy.fr,mairie
mairie-74037-01,Mairie - Boëge,mairie.boege@wanadoo.fr,"Adresse : 50 rue du Bourno,74420,Boëge | Tél : 04 50 39 10 01 | Fax : 04 50 39 08 50",http://www.boege.fr,mairie
mairie-74038-01,Mairie - Bogève,mairie@bogeve.fr,"Adresse : 7 place de la Mairie,74250,Bogève | Tél : 04 50 36 62 08 | Fax : 04 50 36 66 50",http://www.bogeve.fr,mairie
mairie-74040-01,Mairie - Bonne,accueil@mairie-bonne.fr,"Adresse : 479 vi de Chenaz,74380,Bonne | Tél : 04 50 39 21 51 | Fax : 04 50 36 22 47",http://www.bonne.fr,mairie
mairie-74043-01,Mairie - Bons-en-Chablais,mairie@bons-en-chablais.fr,"Adresse : 15 place Henri-Boucher,74890,Bons-en-Chablais | Tél : 04 50 36 10 30 | Fax : 04 50 39 41 89",http://www.bons-en-chablais.fr,mairie
mairie-74044-01,Mairie - Bossey,info@bossey74.fr,"Adresse : 120 rue de la Mairie,74160,Bossey | Tél : 04 50 43 64 77 | Fax : 04 50 43 77 43",,mairie
mairie-74045-01,Mairie - Le Bouchet-Mont-Charvin,accueil@bouchet-mont-charvin.fr,"Adresse : Chef-lieu,74230,Le Bouchet-Mont-Charvin | Tél : 04 50 27 50 77 | Fax : 04 50 27 54 10",http://www.bouchet-mont-charvin.fr,mairie
mairie-74046-01,Mairie - Boussy,commune.boussy@orange.fr,"Adresse : 20 place de l'Église,74150,Boussy | Tél : 04 50 01 40 96 | Fax : 04 50 64 67 74",,mairie
mairie-74048-01,Mairie - Brenthonne,mairiebrenthonne@wanadoo.fr,"Adresse : 21 route de Thonon-les-Bains,74890,Brenthonne | Tél : 04 50 36 12 38 | Fax : 04 50 39 49 94",,mairie
mairie-74049-01,Mairie - Brison,mairie@mairie-brison.fr,"Adresse : 67 allée de la Mairie,74130,Brison | Tél : 04 50 96 91 61 | Fax : ",http://www.mairie-brison.fr,mairie
mairie-74050-01,Mairie - Burdignin,infos@burdignin.fr,"Adresse : 43 route de la Nativité,74420,Burdignin | Tél : 04 50 39 11 86 | Fax : 04 50 39 09 76",http://www.burdignin.fr,mairie
mairie-74051-01,Mairie - Cercier,mairie.cercier@wanadoo.fr,"Adresse : Chef-lieu,74350,Cercier | Tél : 04 50 77 45 20 | Fax : ",http://www.cercier.fr,mairie
mairie-74052-01,Mairie - Cernex,mairiecernex@wanadoo.fr,"Adresse : 77 place de la Mairie,74350,Cernex | Tél : 04 50 44 16 15 | Fax : 04 50 44 84 45",http://www.cernex.fr,mairie
mairie-74053-01,Mairie - Cervens,accueil@mairiedecervens.fr,"Adresse : 1 place Rouge,74550,Cervens | Tél : 04 50 72 41 27 | Fax : 04 50 72 02 76",,mairie
mairie-74054-01,Mairie - Chainaz-les-Frasses,accueil@chainaz-les-frasses.fr,"Adresse : 2 place de l'Église,74540,Chainaz-les-Frasses | Tél : 04 50 52 55 39 | Fax : 04 50 52 55 39",http://www.chainaz-les-frasses.fr,mairie
mairie-74055-01,Mairie - Challonges,mairiedechallonges@wanadoo.fr,"Adresse : 14 place de Bouchamps,74910,Challonges | Tél : 04 50 77 93 57 | Fax : ",,mairie
mairie-74056-01,Mairie - Chamonix-Mont-Blanc,sg@chamonix.fr,"Adresse : 38 place de l'Église - BP 89,74402,Chamonix Cedex | Tél : 04 50 53 11 13 | Fax : 04 50 53 96 86",http://www.chamonix-mont-blanc.fr,mairie
mairie-74057-01,Mairie - Champanges,mairie.champanges@wanadoo.fr,"Adresse : 1 place Anselme-Boujon,74500,Champanges | Tél : 04 50 73 45 67 | Fax : 04 50 76 21 29",http://www.champanges.fr,mairie
mairie-74058-01,Mairie - La Chapelle-d'Abondance,mairie.chapelle.dabondance@wanadoo.fr,"Adresse : 18 route de Savoie,74360,La Chapelle-d'Abondance | Tél : 04 50 73 50 08 | Fax : 04 50 73 50 66",http://mairielachapelledabondance.com,mairie
mairie-74059-01,Mairie - La Chapelle-Rambaud,secretaire@la-chapelle-rambaud.fr,"Adresse : 177 route du Chef-lieu,74800,La Chapelle-Rambaud | Tél : 04 50 94 57 28 | Fax : 04 50 94 46 24",http://www.la-chapelle-rambaud.fr,mairie
mairie-74060-01,Mairie - La Chapelle-Saint-Maurice,lachapellestmaurice@orange.fr,"Adresse : Chef-lieu,74410,La Chapelle-Saint-Maurice | Tél : 04 50 32 03 39 | Fax : 04  50 51 30 79",,mairie
mairie-74061-01,Mairie - Chapeiry,accueil@chapeiry.fr,"Adresse : 4 route des Éparis,74540,Chapeiry | Tél : 04 50 68 12 34 | Fax : 04 50 68 14 69",http://chapeiry.fr,mairie
mairie-74062-01,Mairie - Charvonnex,contact@mairie-charvonnex.com,"Adresse : 585 route du Chef-Lieu,74370,Charvonnex | Tél : 04 50 60 32 48 | Fax : 04 50 60 82 01",http://www.mairie-charvonnex.com,mairie
mairie-74063-01,Mairie - Châtel,mairie@mairiedechatel.fr,"Adresse : 109 route du Centre,74390,Châtel | Tél : 04 50 73 23 98 | Fax : 04 50 73 27 48",http://www.mairiedechatel.fr,mairie
mairie-74064-01,Mairie - Châtillon-sur-Cluses,mairie.chatillon@wanadoo.fr,"Adresse : 15 place de la Mairie,74300,Châtillon-sur-Cluses | Tél : 04 50 34 26 42 | Fax : 04 50 34 20 77",http://www.chatillonsurcluses.fr,mairie
mairie-74066-01,Mairie - Chavannaz,commune.chavannaz@wanadoo.fr,"Adresse : 250 route du Chef-lieu,74270,Chavannaz | Tél : 04 50 60 43 60 | Fax : 04 50 60 48 54",http://www.chavannaz.fr,mairie
mairie-74067-01,Mairie - Chavanod,mairie@chavanod.fr,"Adresse : 1 impasse du Grand-Pré,74650,Chavanod | Tél : 04 50 69 10 61 | Fax : 04 50 69 28 30",http://www.chavanod.fr,mairie
mairie-74068-01,Mairie - Chêne-en-Semine,mairie@chene-en-semine.fr,"Adresse : 433 route du Prieuré,74270,Chêne-en-Semine | Tél : 04 50 77 90 87 | Fax : 04 50 23 78 64",http://www.chene-en-semine.fr,mairie
mairie-74069-01,Mairie - Chênex,mairiedechenex@orange.fr,"Adresse : 85 route de la Boutique,74520,Chênex | Tél : 04 50 04 30 53 | Fax : ",http://www.chenex.fr,mairie
mairie-74070-01,Mairie - Chens-sur-Léman,info@chenssurleman.fr,"Adresse : 01127 rue du Léman,74140,Chens-sur-Léman | Tél : 04 50 94 04 23 | Fax : 04 50 94 25 07",https://www.chens-sur-leman.fr,mairie
mairie-74071-01,Mairie - Chessenaz,mairie.chessenaz@wanadoo.fr,"Adresse : 21 route des Daines,74270,Chessenaz | Tél : 04 50 32 22 31 | Fax : ",,mairie
mairie-74072-01,Mairie - Chevaline,chevaline@wanadoo.fr,"Adresse : 416 route de la Combe-d'Ire,74210,Chevaline | Tél : 04 50 44 30 87 | Fax : ",,mairie
mairie-74073-01,Mairie - Chevenoz,mairie.chevenoz@wanadoo.fr,"Adresse : Chef-lieu - 60 route d'Abondance,74500,Chevenoz | Tél : 04 50 72 20 79 | Fax : 04 50 72 21 64",,mairie
mairie-74074-01,Mairie - Chevrier,mairie@chevrier.fr,"Adresse : 177 chemin des Perrières,74520,Chevrier | Tél : 04 50 04 37 45 | Fax : ",http://www.chevrier.fr,mairie
mairie-74076-01,Mairie - Choisy,mairie@choisy.fr,"Adresse : 71 route de l'Église,74330,Choisy | Tél : 04 50 77 41 56 | Fax : 04 50 77 47 00",http://www.choisy.fr,mairie
mairie-74077-01,Mairie - Clarafond-Arcine,mairie@clarafond.fr,"Adresse : 109 rue de la Mairie,74270,Clarafond-Arcine | Tél : 04 50 77 90 82 | Fax : 04 50 23 64 09",http://www.clarafond-arcine.fr,mairie
mairie-74078-01,Mairie - Clermont-en-Genevois,clermont.mairie74@wanadoo.fr,"Adresse : 14 route de Rumilly,74270,Clermont-en-Genevois | Tél : 04 50 69 63 69 | Fax : ",http://www.clermont74.fr,mairie
mairie-74079-01,Mairie - Les Clefs,mairie-des-clefs@wanadoo.fr,"Adresse : 3223 rue des Clefs,74230,Les Clefs | Tél : 04 50 02 95 01 | Fax : 04 50 02 95 17",,mairie
mairie-74080-01,Mairie - La Clusaz,accueil-dgs@laclusaz.fr,"Adresse : 1 place de l'Église,74220,La Clusaz | Tél : 04 50 32 65 20 | Fax : 04 50 32 65 31",http://www.laclusaz.org,mairie
mairie-74081-01,Mairie - Cluses,cada.cluses@cluses.fr,"Adresse : 1 place Charles-de-Gaulle - BP 99,74302,Cluses Cedex | Tél : 04 50 96 69 00 | Fax : 04 50 96 69 01",http://www.cluses.fr,mairie
mairie-74082-01,Mairie - Collonges-sous-Salève,mairie@collonges-sous-saleve.fr,"Adresse : 6 rue de la Poste - BP 20,74160,Collonges-sous-Salève | Tél : 04 50 43 60 75 | Fax : 04 50 43 78 42",http://www.collonges.net,mairie
mairie-74083-01,Mairie - Combloux,accueil@mairie-combloux.fr,"Adresse : 132 route de la Mairie,74920,Combloux | Tél : 04 50 58 60 32 | Fax : ",http://www.mairie-combloux.fr,mairie
mairie-74085-01,Mairie - Les Contamines-Montjoie,accueil@mairie-lescontamines.com,"Adresse : 4 route Notre-Dame-de-la-Gorge,74170,Les Contamines-Montjoie | Tél : 04 50 47 00 20 | Fax : 04 50 47 09 70",http://www.mairie-lescontamines.com,mairie
mairie-74086-01,Mairie - Contamine-Sarzin,mairie@contamine-sarzin.fr,"Adresse : 67 rue de la Mairie,74270,Contamine-Sarzin | Tél : 04 50 77 81 73 | Fax : 04 50 51 93 59",http://www.contamine-sarzin.fr,mairie
mairie-74087-01,Mairie - Contamine-sur-Arve,accueil@contamine-sur-arve.fr,"Adresse : 11 impasse des Croses,74130,Contamine-sur-Arve | Tél : 04 50 03 60 17 | Fax : 04 50 25 25 21",http://www.contamine-sur-arve.fr,mairie
mairie-74088-01,Mairie - Copponex,commune@copponex.fr,"Adresse : 70 place de l'Église,74350,Copponex | Tél : 04 50 44 22 82 | Fax : 04 50 32 76 34",http://www.copponex.fr,mairie
mairie-74089-01,Mairie - Cordon,mairie@cordon.fr,"Adresse : 3650 route de Cordon,74700,Cordon | Tél : 04 50 58 04 17 | Fax : 04 50 93 95 08",http://www.mairie.cordon.fr,mairie
mairie-74090-01,Mairie - Cornier,cornier.m@wanadoo.fr,"Adresse : 1 place du Tilleul,74800,Cornier | Tél : 04 50 25 55 49 | Fax : 04 50 25 59 97",http://www.cornier.fr,mairie
mairie-74091-01,Mairie - La Côte-d'Arbroz,lacotedarbroz.mairie@orange.fr,"Adresse : 88 place de l'Église,74110,La Côte-d'Arbroz | Tél : 04 50 75 71 09 | Fax : 04 50 75 95 01",http://mairie.lacotedarbroz.fr,mairie
mairie-74094-01,Mairie - Cranves-Sales,mairie@cranves-sales.fr,"Adresse : 139 rue de la Mairie,74380,Cranves-Sales | Tél : 04 50 39 39 42 | Fax : 04 50 36 75 70",http://www.cranves-sales.fr,mairie
mairie-74095-01,Mairie - Crempigny-Bonneguête,mairie-crempigny.bonneguete@orange.fr,"Adresse : 33 route de Clermont,74150,Crempigny-Bonneguête | Tél : 04 50 69 61 60 | Fax : ",http://www.crempigny-bonneguete.fr,mairie
mairie-74096-01,Mairie - Cruseilles,mairie@cruseilles.fr,"Adresse : 35 place de la Mairie,74350,Cruseilles | Tél : 04 50 32 10 33 | Fax : 04 50 44 07 36",http://www.cruseilles.fr,mairie
mairie-74097-01,Mairie - Cusy,mairie@cusy.fr,"Adresse : 330 montée du Chef-lieu,74540,Cusy | Tél : 04 50 52 50 48 | Fax : 04 50 52 10 39",http://www.cusy.fr,mairie
mairie-74098-01,Mairie - Cuvat,mairie.cuvat@wanadoo.fr,"Adresse : 1 place de l'Église,74350,Cuvat | Tél : 04 50 46 86 69 | Fax : 04 50 46 12 39",http://www.cuvat.org,mairie
mairie-74099-01,Mairie - Demi-Quartier,contact@demi-quartier.fr,"Adresse : 28 place de l'Église - BP 130,74120,Megève | Tél : 04 50 21 23 12 | Fax : 04 50 58 74 93",http://www.demi-quartier.fr,mairie
mairie-74100-01,Mairie - Desingy,mairiedesingy@orange.fr,"Adresse : 1 place Saint-Laurent,74270,Desingy | Tél : 04 50 69 43 80 | Fax : 04 50 69 68 07",,mairie
mairie-74101-01,Mairie - Dingy-en-Vuache,accueil@dingy-en-vuache.fr,"Adresse : 513 route de la Mairie,74520,Dingy-en-Vuache | Tél : 04 50 04 21 13 | Fax : ",http://www.dingy-en-vuache.fr,mairie
mairie-74102-01,Mairie - Dingy-Saint-Clair,sg@dingystclair.fr,"Adresse : 55 place de l'Église,74230,Dingy-Saint-Clair | Tél : 04 50 02 06 27 | Fax : ",http://www.dingystclair.fr,mairie
mairie-74103-01,Mairie - Domancy,mairiedomancy@orange.fr,"Adresse : 419 route de Létraz,74700,Domancy | Tél : 04 50 58 14 02 | Fax : 04 50 91 21 11",http://www.domancy.fr,mairie
mairie-74104-01,Mairie - Doussard,mairie.doussard@wanadoo.fr,"Adresse : Route du Pont-Monnet,74210,Doussard | Tél : 04 50 44 30 45 | Fax : 04 50 44 81 75",http://www.doussard.fr,mairie
mairie-74105-01,Mairie - Douvaine,mairie@ville-douvaine.fr,"Adresse : Place de l'Hôtel-de-Ville,74140,Douvaine | Tél : 04 50 94 00 37 | Fax : 04 50 94 25 09",http://www.douvaine.fr,mairie
mairie-74106-01,Mairie - Draillant,mairie.draillant@orange.fr,"Adresse : 01305 route du Prieuré,74550,Draillant | Tél : 04 50 72 40 91 | Fax : 04 50 72 29 16",http://www.draillant.fr,mairie
mairie-74108-01,Mairie - Duingt,mairie@duingt.fr,"Adresse : 19 rue du Vieux-Village,74410,Duingt | Tél : 04 50 68 67 07 | Fax : 04 50 77 03 17",http://www.duingt.fr,mairie
mairie-74109-01,Mairie - Éloise,mairie@eloise.fr,"Adresse : 40 place de la Mairie,01200,Éloise | Tél : 04 50 48 30 06 | Fax : ",http://www.eloise.fr,mairie
mairie-74111-01,Mairie - Entrevernes,mairie@entrevernes74.fr,"Adresse : 81 route des Droblesses,74410,Entrevernes | Tél : 04 50 68 59 04 | Fax : ",,mairie
mairie-74112-01,Mairie - Épagny-Metz-Tessy,mairie@epagnymetztessy.fr,"Adresse : 143 rue de la République,74330,Épagny-Metz-Tessy | Tél : 04 50 22 04 71 | Fax : 04 50 22 61 67",http://www.epagnymetztessy.fr,mairie
mairie-74114-01,Mairie - Essert-Romand,essertromand@wanadoo.fr,"Adresse : 65 route de Thonon,74110,Essert-Romand | Tél : 04 50 75 72 17 | Fax : 04 50 75 73 73",http://www.essert-romand.fr,mairie
mairie-74116-01,Mairie - Eteaux,commune@eteaux.fr,"Adresse : 28 place de la Mairie,74800,Eteaux | Tél : 04 50 03 02 44 | Fax : 04 50 03 04 90",http://www.eteaux.fr,mairie
mairie-74117-01,Mairie - Étercy,mairie@etercy74.fr,"Adresse : 6 route d'Annecy,74150,Étercy | Tél : 04 50 69 71 80 | Fax : 04 50 69 41 28",http://www.etercy74.fr,mairie
mairie-74118-01,Mairie - Étrembières,mairie@etrembieres.fr,"Adresse : 59 place Marc-Lecourtier,74100,Étrembières | Tél : 04 50 92 04 01 | Fax : 04 50 87 29 88",http://www.etrembieres.fr,mairie
mairie-74119-01,Mairie - Évian-les-Bains,courrier@ville-evian.fr,"Adresse : Rue de Clermont - CS 80098,74502,Évian-les-Bains Cedex | Tél : 04 50 83 10 00 | Fax : 04 50 83 10 03",http://www.ville-evian.fr,mairie
mairie-74121-01,Mairie - Excenevex,accueil@excenevex.fr,"Adresse : 81 rue des Écoles,74140,Excenevex | Tél : 04 50 72 81 27 | Fax : 04 50 72 90 41",http://www.excenevex.fr,mairie
mairie-74122-01,Mairie - Faucigny,mairie.faucigny@wanadoo.fr,"Adresse : 44 place du Village,74130,Faucigny | Tél : 04 50 03 61 93 | Fax : ",http://www.faucigny.fr,mairie
mairie-74123-01,Mairie - Faverges,mairie@faverges.fr,"Adresse : 98 rue de la République - BP 62,74210,Faverges | Tél : 04 50 32 57 57 | Fax : 04 50 32 57 58",http://www.faverges.fr,mairie
mairie-74124-01,Mairie - Feigères,mairie@feigeres74.fr,"Adresse : 152 chemin des Poses-du-Bois - BP 30612,74166,Feigères Cedex | Tél : 04 50 49 24 60 | Fax : 04 50 49 13 10",http://www.feigeres74.fr,mairie
mairie-74126-01,Mairie - Fessy,mairie.fessy@orange.fr,"Adresse : 1 place de la Mairie,74890,Fessy | Tél : 04 50 36 31 77 | Fax : 04 50 39 45 93",,mairie
mairie-74127-01,Mairie - Féternes,accueil@feternes.fr,"Adresse : 1 place du 20-Février-01944,74500,Féternes | Tél : 04 50 73 41 79 | Fax : 04 50 73 49 20",http://www.feternes.fr,mairie
mairie-74128-01,Mairie - Fillinges,commune@fillinges.fr,"Adresse : 858 route du Chef-lieu,74250,Fillinges | Tél : 04 50 36 42 65 | Fax : 04 50 43 10 07",http://www.fillinges.fr,mairie
mairie-74129-01,Mairie - La Forclaz,mairielaforclaz@orange.fr,"Adresse : Chef-lieu - 115 chemin des Écoliers,74200,La Forclaz | Tél : 04 50 71 76 44 | Fax : ",http://www.laforclaz74.fr,mairie
mairie-74130-01,Mairie - Franclens,accueil@franclens.fr,"Adresse : Chemin des Écoliers,74910,Franclens | Tél : 04 50 77 90 63 | Fax : 04 50 77 99 05",http://www.franclens.fr,mairie
mairie-74131-01,Mairie - Frangy,mairie@frangy.fr,"Adresse : 19 rue du Grand-Pont - BP 2,74270,Frangy | Tél : 04 50 44 75 96 | Fax : 04 50 32 20 98",http://www.frangy.fr,mairie
mairie-74133-01,Mairie - Gaillard,dgs@gaillard.fr,"Adresse : Cours de la République - BP 36,74240,Gaillard | Tél : 04 50 39 76 30 | Fax : 04 50 39 71 80",http://www.gaillard.fr,mairie
mairie-74134-01,Mairie - Les Gets,mairie@mairie-les-gets.fr,"Adresse : 61 route du Front-de-Neige - BP 24,74260,Les Gets | Tél : 04 50 74 74 65 | Fax : 04 50 79 74 57",http://www.lesgets-mairie.eu,mairie
mairie-74135-01,Mairie - Giez,mairie.giez@wanadoo.fr,"Adresse : 360 route du Bourgeal,74210,Giez | Tél : 04 50 44 54 84 | Fax : 04 50 44 64 92",,mairie
mairie-74136-01,Mairie - Le Grand-Bornand,info@mairielegrandbornand.com,"Adresse : 21 route du Chinaillon - BP 8,74450,Le Grand-Bornand | Tél : 04 50 02 78 20 | Fax : 04 50 02 78 21",,mairie
