#id,name,request_email,notes,home_page,tag_string,valid_email,commune,commune_in_name
gendarmerie-97128-01,Brigade de gendarmerie - Sainte-Anne 97128-01,bta.ste-anne@gendarmerie.interieur.gouv.fr,"Adresse : 1 Impasse Joas Section Castaing,97180,Sainte-Anne | Tél : +590 85 19 50 | Fax : +590 85 19 60",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,Sainte-Anne,True
mairie-73079-01,Mairie - Châteauneuf 73079-01,mairie.de.chateauneuf@wanadoo.fr,"Adresse : 203 route Royale,73390,Châteauneuf | Tél : 04 79 28 84 16 | Fax : ",http://www.chateauneufsavoie.com,mairie,True,Châteauneuf,True
mairie-21152-01,Mairie - Châteauneuf 21152-01,mairie.chateauneuf21@wanadoo.fr,"Adresse : Grande rue, 201320, Châteauneuf | Tél : 03 80 49 21 64 | Fax : ",http://www.chateauneuf-cotedor.fr,mairie,True,Châteauneuf,True
mairie-06038-01,Mairie - Châteauneuf 06038-01,secretariat@ville-chateauneuf.fr,"Adresse : 4 place Georges-Clemenceau, 6740, Châteauneuf | Tél : 04 92 60 36 03 | Fax : 04 92 60 36 00",http://www.ville-chateauneuf.fr,mairie,True,Châteauneuf,True
mairie-41042-01,Mairie - Châteauvieux 41042-01,mairie.chateauvieux@wanadoo.fr,"Adresse : 1 rue des Déportés-du-2-Mai-01944,401110,Châteauvieux | Tél : 02 54 75 21 06 | Fax : 02 54 75 46 26",http://www.mairiechateauvieux.blogspot.fr,mairie,True,Châteauvieux,True
mairie-05037-01,Mairie - Châteauvieux 05037-01,mairie.chateauvieux05@wanadoo.fr,"Adresse : Les Rougiers, 5000, Châteauvieux | Tél : 04 92 54 12 13 | Fax : 04 92 54 06 93",http://chateauvieux05.fr,mairie,True,Châteauvieux,True
mairie-83040-01,Mairie - Châteauvieux 83040-01,chateauvieux3@wanadoo.fr,"Adresse : Le Plus-Haut-Village,83840,Châteauvieux | Tél : 04 94 84 20 16 | Fax : ",,mairie,True,Châteauvieux,True
mairie-42054-01,Mairie - Châtelneuf 42054-01,mairie.chatelneuf@wanadoo.fr,"Adresse : Le Bourg,42940,Châtelneuf | Tél : 04 77 76 84 29 | Fax : 04 77 76 88 04",https://www.chatelneuf.fr,mairie,True,Châtelneuf,True
mairie-39120-01,Mairie - Châtelneuf 39120-01,chatelneuf.mairie@wanadoo.fr,"Adresse : 28 rue Haut,39300,Châtelneuf | Tél : 03 84 51 61 97 | Fax : 03 84 51 61 97",,mairie,True,Châtelneuf,True
mairie-42055-01,Mairie - Châtelus 42055-01,chatelus.mairie@gmail.com,"Adresse : 148 rue du Château,42140,Châtelus | Tél : 04 77 20 72 26 | Fax : ",,mairie,True,Châtelus,True
mairie-03068-01,Mairie - Châtelus 03068-01,mairie-chatelus@pays-allier.com,"Adresse : Le Bourg, 3120, Châtelus | Tél : 04 70 55 01 79 | Fax : 04 70 55 01 79",http://chatelus.planet-allier.com,mairie,True,Châtelus,True
mairie-38092-01,Mairie - Châtelus 38092-01,commune.chatelus@orange.fr,"Adresse : 4 route du Moulin,38680,Châtelus | Tél : 04 76 36 04 68 | Fax : 04 76 36 66 78",,mairie,True,Châtelus,True
mairie-28092-01,Mairie - Châtenay 28092-01,mairie-chatenay@wanadoo.fr,"Adresse : 9 rue du Moulin, 28700, Châtenay | Tél : 02 37 99 61 21 | Fax : ",,mairie,True,Châtenay,True
mairie-38093-01,Mairie - Châtenay 38093-01,mairie.chatenay@wanadoo.fr,"Adresse : 542 route du Tramway,38980,Châtenay | Tél : 04 74 20 09 82 | Fax : ",http://www.mairie-chatenay-38.fr,mairie,True,Châtenay,True
mairie-01090-01,Mairie - Châtenay 01090-01,mairiedechatenay01@gmail.com,"Adresse : 10 chemin du Village, 01320, Châtenay | Tél : 04 74 61 71 03 | Fax : 04 74 61 74 16",,mairie,True,Châtenay,True
mairie-71116-01,Mairie - Châtenay 71116-01,mairie-de-chatenay@orange.fr,"Adresse : Le Bourg,701800,Châtenay | Tél : 03 85 28 28 48 | Fax : ",,mairie,True,Châtenay,True
mairie-70141-01,Mairie - Châtenois 70141-01,mairie.chatenois0097@orange.fr,"Adresse : 4 place de la Fontaine,70240,Châtenois | Tél : 09 63 52 70 20 | Fax : ",,mairie,True,Châtenois,True
mairie-67073-01,Mairie - Châtenois 67073-01,mairie@chatenois.fr,"Adresse : 81 rue du Maréchal-Foch,67730,Châtenois | Tél : 03 88 82 02 74 | Fax : 03 88 82 39 51",http://www.mairie-chatenois.fr,mairie,True,Châtenois,True
mairie-88095-01,Mairie - Châtenois 88095-01,ville-chatenois88@wanadoo.fr,"Adresse : 1 rue de Lorraine - BP 40,88170,Châtenois | Tél : 03 29 94 51 09 | Fax : 03 29 94 59 40",http://www.ville-chatenois88.fr,mairie,True,Châtenois,True
mairie-39121-01,Mairie - Châtenois 39121-01,chatenois39.mairie@wanadoo.fr,"Adresse : 14 rue des Fontaines,39700,Châtenois | Tél : 03 84 70 66 43 | Fax : ",http://www.chatenois.com,mairie,True,Châtenois,True
mairie-45084-01,Mairie - Châtenoy 45084-01,mairie.chatenoy@wanadoo.fr,"Adresse : 9 route de Lorris,45260,Châtenoy | Tél : 02 38 55 92 53 | Fax : 02 38 55 92 53",,mairie,True,Châtenoy,True
mairie-77102-01,Mairie - Châtenoy 77102-01,mairiedechatenoy77@orange.fr,"Adresse : Place de la Mairie,77167,Châtenoy | Tél : 01 64 28 74 87 | Fax : 01 64 28 74 87",http://www.chatenoy.fr,mairie,True,Châtenoy,True
mairie-92020-01,Mairie - Châtillon 92020-01,ville-chatillon@wanadoo.fr,"Adresse : 1 place de la Libération,92320,Châtillon | Tél : 01 42 31 81 81 | Fax : ",http://www.ville-chatillon.fr,mairie,True,Châtillon,True
mairie-86067-01,Mairie - Châtillon 86067-01,chatillon@departement86.fr,"Adresse : 13 le Bourg,86700,Châtillon | Tél : 05 49 59 19 28 | Fax : ",http://chatillon86.fr,mairie,True,Châtillon,True
mairie-39122-01,Mairie - Châtillon 39122-01,mairie.chatillon-ain@orange.fr,"Adresse : 1 place de la Mairie,39130,Châtillon | Tél : 03 84 25 76 12 | Fax : ",,mairie,True,Châtillon,True
mairie-69050-01,Mairie - Châtillon 69050-01,mairie@chatillondazergues.fr,"Adresse : 69 place de la Mairie - BP 1,69380,Châtillon | Tél : 04 72 54 26 00 | Fax : 04 72 54 26 08",http://www.chatillondazergues.fr,mairie,True,Châtillon,True
mairie-03069-01,Mairie - Châtillon 03069-01,mairie-chatillon@pays-allier.com,"Adresse : 1 la Pierre-Percée, 3210, Châtillon | Tél : 04 70 47 20 70 | Fax : ",,mairie,True,Châtillon,True
mairie-77104-01,Mairie - Châtres 77104-01,mairie.chatres@wanadoo.fr,"Adresse : Rue de l'Église,77610,Châtres | Tél : 01 64 42 59 30 | Fax : 01 64 42 59 39",http://www.mairiedechatres.com,mairie,True,Châtres,True
mairie-10089-01,Mairie - Châtres 10089-01,mairiedechatres@wanadoo.fr,"Adresse : 8 rue du Four, 010510, Châtres | Tél : 03 25 21 10 34 | Fax : ",,mairie,True,Châtres,True
mairie-24116-01,Mairie - Châtres 24116-01,mairie-chatres@wanadoo.fr,"Adresse : Le Bourg, 24120, Châtres | Tél : 05 53 51 55 93 | Fax : 05 53 50 29 65",,mairie,True,Châtres,True
mairie-53068-01,Mairie - Chérancé 53068-01,cherance.mairie@wanadoo.fr,"Adresse : 25 rue Principale,53400,Chérancé | Tél : 02 43 06 12 68 | Fax : 02 43 06 16 52",,mairie,True,Chérancé,True
mairie-72078-01,Mairie - Chérancé 72078-01,mairie-cherance@orange.fr,"Adresse : 9 rue de la Gare,72170,Chérancé | Tél : 02 43 97 14 16 | Fax : 02 43 97 66 16",,mairie,True,Chérancé,True
mairie-18066-01,Mairie - Civray 18066-01,mairie-civray.cher@wanadoo.fr,"Adresse : 7 route des Chagnières, 018290, Civray | Tél : 02 48 55 14 09 | Fax : 02 48 26 09 81",http://www.civray-cher.fr,mairie,True,Civray,True
mairie-86078-01,Mairie - Civray 86078-01,contact@civray.fr,"Adresse : 12 place du Général-de-Gaulle - BP 40049,86400,Civray | Tél : 05 49 87 00 49 | Fax : 05 49 87 94 24",http://www.civray.fr,mairie,True,Civray,True
mairie-01106-01,Mairie - Cize 01106-01,cize.mairie@wanadoo.fr,"Adresse : 2 rue Principale, 01250, Cize | Tél : 04 74 42 90 42 | Fax : 04 74 42 90 42",http://www.cize.fr,mairie,True,Cize,True
mairie-39153-01,Mairie - Cize 39153-01,cize-mairie@wanadoo.fr,"Adresse : 22 avenue Étienne-Lamy,39300,Cize | Tél : 03 84 52 04 87 | Fax : ",,mairie,True,Cize,True
mairie-38111-01,Mairie - Claix 38111-01,direction.generale@ville-claix.fr,"Adresse : Place Hector-Berlioz,38640,Claix | Tél : 04 76 98 15 36 | Fax : 04 76 98 82 81",http://www.ville-claix.fr,mairie,True,Claix,True
mairie-16101-01,Mairie - Claix 16101-01,mairie@claix16.fr,"Adresse : 1 rue de la Mairie, 016440, Claix | Tél : 05 45 66 31 47 | Fax : 05 45 66 43 99",http://www.claix16.fr,mairie,True,Claix,True
mairie-58079-01,Mairie - Clamecy 58079-01,mairie.clamecy@wanadoo.fr,"Adresse : Place du 19-Août,58500,Clamecy | Tél : 03 86 27 50 70 | Fax : 03 86 27 12 72",http://www.clamecy.fr,mairie,True,Clamecy,True
mairie-02198-01,Mairie - Clamecy 02198-01,clamecy.mairie@wanadoo.fr,"Adresse : 19 rue de l'École, 2880, Clamecy | Tél : 03 23 53 76 83 | Fax : 03 23 53 76 83",,mairie,True,Clamecy,True
mairie-70158-01,Mairie - Clans 70158-01,mairie.clans70@wanadoo.fr,"Adresse : 2 rue des Trois-Fontaines,70000,Clans | Tél : 03 84 78 88 27 | Fax : ",,mairie,True,Clans,True
mairie-06042-01,Mairie - Clans 06042-01,mairiedeclans@wanadoo.fr,"Adresse : 7 avenue de l'Hôtel-de-Ville, 6420, Clans | Tél : 04 93 02 90 08 | Fax : 04 93 02 94 94",http://www.clans06.com,mairie,True,Clans,True
mairie-65149-01,Mairie - Clarac 65149-01,commune-de-clarac@orange.fr,"Adresse : Rue du Levant,65190,Clarac | Tél : 05 62 35 72 09 | Fax : ",http://clarac65.fr,mairie,True,Clarac,True
mairie-31147-01,Mairie - Clarac 31147-01,communedeclarac@orange.fr,"Adresse : 41 rue du Vieux-Clarac,301210,Clarac | Tél : 05 61 89 74 36 | Fax : 05 61 94 62 12",,mairie,True,Clarac,True
mairie-04058-01,Mairie - Claret 04058-01,mairiedeclaret04@orange.fr,"Adresse : Placette de la Mairie, 5110, Claret | Tél : 04 92 68 32 40 | Fax : ",,mairie,True,Claret,True
mairie-34078-01,Mairie - Claret 34078-01,mairie@claret.fr,"Adresse : 1 place de l'Hermet,34270,Claret | Tél : 04 67 02 93 80 | Fax : 04 67 02 93 84",http://www.claret.fr,mairie,True,Claret,True
mairie-09097-01,Mairie - Clermont 09097-01,commune-de-clermont@orange.fr,"Adresse : Village, 9420, Clermont | Tél : 05 61 96 31 76 | Fax : ",,mairie,True,Clermont,True
mairie-60157-01,Mairie - Clermont 60157-01,contact@mairie-clermont.fr,"Adresse : 7 rue du Général-Pershing,60600,Clermont | Tél : 03 44 50 84 84 | Fax : 03 44 50 84 69",http://www.clermont-oise.fr,mairie,True,Clermont,True
mairie-40084-01,Mairie - Clermont 40084-01,secreteriat@clermont40.fr,"Adresse : 22 place de la Mairie,40180,Clermont | Tél : 05 58 89 80 38 | Fax : 05 58 55 31 25",http://www.clermont40.fr,mairie,True,Clermont,True
mairie-71135-01,Mairie - Clessé 71135-01,mairie.clesse@orange.fr,"Adresse : Place de la Mairie,701260,Clessé | Tél : 03 85 36 93 81 | Fax : ",http://www.clesse71.fr,mairie,True,Clessé,True
mairie-79094-01,Mairie - Clessé 79094-01,communeclesse@wanadoo.fr,"Adresse : 15 rue de la Mairie,79350,Clessé | Tél : 05 49 72 01 02 | Fax : ",http://www.clesse79.fr,mairie,True,Clessé,True
mairie-21180-01,Mairie - Cléry 21180-01,mairiedeclery@orange.fr,"Adresse : 2 rue du Duché, 201270, Cléry | Tél : 03 80 36 16 80 | Fax : 03 80 36 16 80",,mairie,True,Cléry,True
mairie-73086-01,Mairie - Cléry 73086-01,mairie.clery@wanadoo.fr,"Adresse : Chef-lieu,73460,Cléry | Tél : 04 79 38 59 69 | Fax : ",,mairie,True,Cléry,True
mairie-76181-01,Mairie - Cléville 76181-01,mairie.cleville@wanadoo.fr,"Adresse : 417 rue de la Mairie,76640,Cléville | Tél : 02 35 96 71 31 | Fax : ",,mairie,True,Cléville,True
mairie-14163-01,Mairie - Cléville 14163-01,mairie.cleville14@orange.fr,"Adresse : Départementale 138, 014370, Cléville | Tél : 02 31 23 67 07 | Fax : ",http://www.cleville.fr,mairie,True,Cléville,True
mairie-18068-01,Mairie - Cogny 18068-01,cogny-cher@wanadoo.fr,"Adresse : Rue du Gué-de-l'Aubray, 018130, Cogny | Tél : 02 48 61 81 23 | Fax : 02 48 61 81 23",,mairie,True,Cogny,True
mairie-69061-01,Mairie - Cogny 69061-01,secretariat@cogny.fr,"Adresse : 438 rue Mont-Saint-Guibert,69640,Cogny | Tél : 04 74 67 30 55 | Fax : 04 74 67 37 74",http://www.cogny-beaujolais.fr,mairie,True,Cogny,True
mairie-06045-01,Mairie - Collongues 06045-01,mairie-de-collongues@nordnet.fr,"Adresse : 2 place du Château, 6910, Collongues | Tél : 04 83 93 60 04 | Fax : ",,mairie,True,Collongues,True
mairie-65151-01,Mairie - Collongues 65151-01,communedecollongues@orange.fr,"Adresse : 33 rue des Cultivateurs,65350,Collongues | Tél : 05 62 35 38 84 | Fax : 05 62 35 38 84",,mairie,True,Collongues,True
mairie-70163-01,Mairie - Colombier 70163-01,colombier@vesoul.fr,"Adresse : 2 rue de l'Église,70000,Colombier | Tél : 03 84 75 90 79 | Fax : ",http://www.vesoul.fr,mairie,True,Colombier,True
mairie-03081-01,Mairie - Colombier 03081-01,mairie.colombier@wanadoo.fr,"Adresse : 30 route de Lapeyrouse, 3600, Colombier | Tél : 04 70 64 36 02 | Fax : 09 70 06 77 32",,mairie,True,Colombier,True
mairie-24126-01,Mairie - Colombier 24126-01,mairie-colombier@wanadoo.fr,"Adresse : Labadie, 24560, Colombier | Tél : 05 53 58 32 42 | Fax : 05 53 58 32 42",http://www.colombierenperigord.com,mairie,True,Colombier,True
mairie-21184-01,Mairie - Colombier 21184-01,mairie.colombier21@orange.fr,"Adresse : 3 impasse Félix-Perrin, 201360, Colombier | Tél : 03 80 33 01 85 | Fax : ",,mairie,True,Colombier,True
mairie-42067-01,Mairie - Colombier 42067-01,colombier.mairie@wanadoo.fr,"Adresse : Le Bourg,42220,Colombier | Tél : 04 77 51 54 23 | Fax : 04 77 51 59 27",http://www.colombier-pilat.e-monsite.com,mairie,True,Colombier,True
mairie-61111-01,Mairie - Colombiers 61111-01,mairie.colombiers61@wanadoo.fr,"Adresse : 1 rue de Lonrai,601250,Colombiers | Tél : 02 33 32 27 96 | Fax : 02 33 32 27 96",,mairie,True,Colombiers,True
mairie-34081-01,Mairie - Colombiers 34081-01,info@colombiers.com,"Adresse : Carrefour des Droits-de-l'Homme,34440,Colombiers | Tél : 04 67 11 86 00 | Fax : 04 67 11 86 01",http://www.colombiers.com,mairie,True,Colombiers,True
mairie-17115-01,Mairie - Colombiers 17115-01,commune-de-colombiers174@orange.fr,"Adresse : 7 rue de Bel-Air, 017460, Colombiers | Tél : 05 46 91 22 52 | Fax : ",,mairie,True,Colombiers,True
mairie-18069-01,Mairie - Colombiers 18069-01,mairie.colombiers@wanadoo.fr,"Adresse : 7 rue de la Jumelle, 018200, Colombiers | Tél : 02 48 96 21 72 | Fax : 02 48 96 21 52",,mairie,True,Colombiers,True
mairie-86081-01,Mairie - Colombiers 86081-01,mairie@colombiers86.fr,"Adresse : 2 place de Manderen,86490,Colombiers | Tél : 05 49 90 02 25 | Fax : 05 49 90 56 22",http://www.colombiers86.fr,mairie,True,Colombiers,True
mairie-33132-01,Mairie - Comps 33132-01,mairie-comps@wanadoo.fr,"Adresse : 56 route de l'Estuaire,33710,Comps | Tél : 05 57 64 80 29 | Fax : ",http://www.village-comps.com,mairie,True,Comps,True
mairie-30089-01,Mairie - Comps 30089-01,mairie.de.comps@wanadoo.fr,"Adresse : Place Sadi-Carnot,30300,Comps | Tél : 04 66 74 50 99 | Fax : 04 66 74 45 19",http://www.mairie-comps.fr,mairie,True,Comps,True
mairie-26101-01,Mairie - Comps 26101-01,comps.mairie@orange.fr,"Adresse : 8 place de la Liberté, 26220, Comps | Tél : 04 75 46 32 89 | Fax : ",http://www.comps.fr,mairie,True,Comps,True
mairie-39162-01,Mairie - Condamine 39162-01,mairie.condamine@wanadoo.fr,"Adresse : 454 rue du Centre,39570,Condamine | Tél : 03 84 35 32 88 | Fax : ",,mairie,True,Condamine,True
mairie-01112-01,Mairie - Condamine 01112-01,mairie@condamine.fr,"Adresse : 44 route de la Combe-du-Val, 01430, Condamine | Tél : 09 67 19 73 78 | Fax : ",http://www.condamine.fr,mairie,True,Condamine,True
mairie-15054-01,Mairie - Condat 15054-01,condat.mairie@wanadoo.fr,"Adresse : 2 place de la Mairie, 015190, Condat | Tél : 04 71 78 52 06 | Fax : ",http://www.condat15.fr,mairie,True,Condat,True
mairie-46074-01,Mairie - Condat 46074-01,commune.condat@wanadoo.fr,"Adresse : Le Bourg,46110,Condat | Tél : 05 65 32 11 26 | Fax : ",,mairie,True,Condat,True
mairie-39163-01,Mairie - Condes 39163-01,condesmairie@gmail.com,"Adresse : 4 rue des Lacs,39240,Condes | Tél : 04 74 75 83 25 | Fax : ",,mairie,True,Condes,True
mairie-52141-01,Mairie - Condes 52141-01,mairie.condes@wanadoo.fr,"Adresse : 1 place de Verdun,52000,Condes | Tél : 03 25 03 95 19 | Fax : 03 25 03 95 19",,mairie,True,Condes,True
mairie-62236-01,Mairie - Contes 62236-01,commune.contes@wanadoo.fr,"Adresse : Rue Principale,62990,Contes | Tél : 03 21 86 94 60 | Fax : 03 21 81 42 02",,mairie,True,Contes,True
mairie-06048-01,Mairie - Contes 06048-01,mairiedecontes@fr.oleane.com,"Adresse : 19 rue du 8-Mai-01945, 6390, Contes | Tél : 04 93 79 00 01 | Fax : 04 93 79 06 67",http://www.ville-contes.fr,mairie,True,Contes,True
mairie-80208-01,Mairie - Conteville 80208-01,mairie.conteville@laposte.net,"Adresse : 10 rue d'Auxi-le-Château,80370,Conteville | Tél : 03 22 29 05 88 | Fax : 03 22 29 05 88",,mairie,True,Conteville,True
mairie-27169-01,Mairie - Conteville 27169-01,mairie@conteville27.fr,"Adresse : 15 rue de la Forge - Cedex 28, 27210, Conteville | Tél : 02 32 57 60 12 | Fax : 02 32 42 07 93",http://www.conteville.fr,mairie,True,Conteville,True
mairie-60161-01,Mairie - Conteville 60161-01,mairie.conteville889@orange.fr,"Adresse : 6, rue Léger,60360,Conteville | Tél : | Fax : ",,mairie,True,Conteville,True
mairie-76186-01,Mairie - Conteville 76186-01,mairie.conteville.76@wanadoo.fr,"Adresse : 194 route de Flamets-Fretils,76390,Conteville | Tél : 02 35 93 67 03 | Fax : ",,mairie,True,Conteville,True
mairie-18071-01,Mairie - Contres 18071-01,mairie.contres.18@wanadoo.fr,"Adresse : Le Bourg, 018130, Contres | Tél : 02 48 59 82 91 | Fax : 02 48 59 82 91",,mairie,True,Contres,True
mairie-41059-01,Mairie - Contres 41059-01,accueil2.mairie.contres@fr.oleane.com,"Adresse : Place du 8-Mai-01945,401700,Contres | Tél : 02 54 79 53 22 | Fax : 02 54 79 00 52",http://www.ville-contres.fr,mairie,True,Contres,True
mairie-11100-01,Mairie - Corbières 11100-01,corbieres.laleude@nordnet.fr,"Adresse : La Leude, 011230, Corbières | Tél : 04 68 69 57 96 | Fax : 04 68 69 57 96",,mairie,True,Corbières,True
mairie-04063-01,Mairie - Corbières 04063-01,secretariat@mairie-corbieres.fr,"Adresse : 1 place Haute, 4220, Corbières | Tél : 04 92 78 22 12 | Fax : 04 92 78 25 88",http://www.mairie-corbieres.fr,mairie,True,Corbières,True
mairie-27170-01,Mairie - Cormeilles 27170-01,mairie.cormeilles@wanadoo.fr,"Adresse : 24 bis rue de l'Abbaye, 27260, Cormeilles | Tél : 02 32 57 80 18 | Fax : 02 32 56 96 34",http://www.cormeillesenpaysdauge.com,mairie,True,Cormeilles,True
mairie-60163-01,Mairie - Cormeilles 60163-01,mairie.cormeillesoise@wanadoo.fr,"Adresse : 1 rue de l'Église,60120,Cormeilles | Tél : 03 44 82 94 26 | Fax : ",http://www.cormeilles60.jimdo.com,mairie,True,Cormeilles,True
mairie-37232-03,Mairie - Coteaux-sur-Loire 37232-03,ingrandes.village37@orange.fr,"Adresse : Ingrandes-de-Touraine - 12 place de l'Église,37140,Coteaux-sur-Loire | Tél : 02 47 96 98 64 | Fax : ",http://coteaux-sur-loire.fr,mairie,True,Coteaux-sur-Loire,True
mairie-37232-01,Mairie - Coteaux-sur-Loire 37232-01,mairie@coteau-sur-loire.fr,"Adresse : Saint-Patrice - 62 rue Dorothée-de-Dino,37130,Coteaux-sur-Loire | Tél : 02 47 96 98 15 | Fax : ",http://www.saint-patrice.a3w.fr,mairie,True,Coteaux-sur-Loire,True
mairie-37232-02,Mairie - Coteaux-sur-Loire 37232-02,mairie@coteaux-sur-loire.fr,"Adresse : Saint-Michel-sur-Loire - 1 place du 11-Novembre,37130,Coteaux-sur-Loire | Tél : 02 47 96 83 06 | Fax : 02 46 46 98 33",http://www.coteaux-sur-loire.fr,mairie,True,Coteaux-sur-Loire,True
mairie-52145-01,Mairie - Coublanc 52145-01,mairie.coublanc@wanadoo.fr,"Adresse : 1 rue du Château,52500,Coublanc | Tél : 03 25 87 28 60 | Fax : ",,mairie,True,Coublanc,True
mairie-71148-01,Mairie - Coublanc 71148-01,mairie.coublanc71@wanadoo.fr,"Adresse : Le Bourg,701170,Coublanc | Tél : 03 85 26 30 78 | Fax : 03 85 26 37 42",,mairie,True,Coublanc,True
mairie-27176-01,Mairie - Coudray 27176-01,mairie.coudray@wanadoo.fr,"Adresse : 24 rue de la Mairie, 27150, Coudray | Tél : 02 32 55 81 25 | Fax : ",,mairie,True,Coudray,True
mairie-53078-01,Mairie - Coudray 53078-01,mairie-coudray@orange.fr,"Adresse : Rue Principale,53200,Coudray | Tél : 02 43 06 94 14 | Fax : ",http://www.coudray53.fr,mairie,True,Coudray,True
mairie-17122-01,Mairie - Coulonges 17122-01,mairie@coulonges17.fr,"Adresse : 1 rue des Écoles, 017800, Coulonges | Tél : 05 46 96 47 23 | Fax : 05 46 96 38 75",,mairie,True,Coulonges,True
mairie-86084-01,Mairie - Coulonges 86084-01,coulonges-les-herolles@departement86.fr,"Adresse : 3 place Sully,86290,Coulonges | Tél : 05 49 91 77 08 | Fax : ",http://www.foire-des-herolles.fr,mairie,True,Coulonges,True
mairie-16108-01,Mairie - Coulonges 16108-01,mairie.coulonges@wanadoo.fr,"Adresse : Rue de la Mairie, 016330, Coulonges | Tél : 05 45 39 85 69 | Fax : ",,mairie,True,Coulonges,True
mairie-39169-01,Mairie - Courbouzon 39169-01,mairie.courbouzon39@wanadoo.fr,"Adresse : 60 route du Val-de-Sorne,39570,Courbouzon | Tél : 09 63 05 56 11 | Fax : 03 84 47 04 37",http://www.courbouzon39.fr,mairie,True,Courbouzon,True
mairie-41066-01,Mairie - Courbouzon 41066-01,mairie.courbouzon@wanadoo.fr,"Adresse : Rue Champsort,401500,Courbouzon | Tél : 02 54 81 01 90 | Fax : 02 54 81 08 49",,mairie,True,Courbouzon,True
mairie-45110-01,Mairie - Courcelles 45110-01,mairie-courcelles@wanadoo.fr,"Adresse : 6 rue du Tertre,45300,Courcelles | Tél : 02 38 33 11 76 | Fax : ",http://www.courcelles-loiret.fr,mairie,True,Courcelles,True
mairie-25171-01,Mairie - Courcelles 25171-01,commune-de-courcelles@orange.fr,"Adresse : 5 Grande rue, 25440, Courcelles | Tél : 03 81 63 68 03 | Fax : ",,mairie,True,Courcelles,True
mairie-90027-01,Mairie - Courcelles 90027-01,courcellesmairie@orange.fr,"Adresse : 6, rue d'Ajoie,90100,Courcelles | Tél : 03 84 29 64 28 | Fax : 03 84 29 64 28",,mairie,True,Courcelles,True
mairie-54140-01,Mairie - Courcelles 54140-01,mairie.de.courcelles@orange.fr,"Adresse : 2 rue de l'Église,54930,Courcelles | Tél : 03 83 52 32 76 | Fax : 03 83 52 32 76",,mairie,True,Courcelles,True
mairie-58090-01,Mairie - Courcelles 58090-01,courcelles-mairie-nievre@wanadoo.fr,"Adresse : Route des Écoles,58210,Courcelles | Tél : 03 86 29 14 59 | Fax : ",,mairie,True,Courcelles,True
mairie-50145-01,Mairie - Courcy 50145-01,mairiedecourcy@wanadoo.fr,"Adresse : 1 place Lefrançois-Delalande,50200,Courcy | Tél : 02 33 45 16 09 | Fax : ",,mairie,True,Courcy,True
mairie-51183-01,Mairie - Courcy 51183-01,communecourcy@orange.fr,"Adresse : 5 place de la Mairie,501220,Courcy | Tél : 03 26 49 60 10 | Fax : ",http://www.village-de-courcy.fr,mairie,True,Courcy,True
mairie-14190-01,Mairie - Courcy 14190-01,commune-de-courcy@orange.fr,"Adresse : Rue de la Mairie, 014170, Courcy | Tél : 02 31 40 95 26 | Fax : ",http://www.mairiedecourcy.fr,mairie,True,Courcy,True
mairie-27181-01,Mairie - Courdemanche 27181-01,mairiecourdemanche@wanadoo.fr,"Adresse : 1 place de la Mairie - Les Grès, 27320, Courdemanche | Tél : 02 37 48 10 40 | Fax : 02 37 48 10 40",,mairie,True,Courdemanche,True
mairie-72103-01,Mairie - Courdemanche 72103-01,mairie.courdemanche@gmail.com,"Adresse : 13 rue du Collège,72150,Courdemanche | Tél : 02 43 44 80 19 | Fax : ",http://www.courdemanche.mairie72.fr,mairie,True,Courdemanche,True
mairie-02227-01,Mairie - Courmont 02227-01,mairie.courmont@wanadoo.fr,"Adresse : 4,  la Grande rue, 2130, Courmont | Tél : 03 23 69 36 56 | Fax : ",,mairie,True,Courmont,True
mairie-70182-01,Mairie - Courmont 70182-01,mairiecourmont@orange.fr,"Adresse : Rue Principale,70400,Courmont | Tél : 03 84 27 33 54 | Fax : ",,mairie,True,Courmont,True
mairie-69066-01,Mairie - Cours 69066-01,commune@mairie-cours.fr,"Adresse : Cours-la-Ville - Place de la Libération - BP 42,69470,Cours | Tél : 04 74 89 71 80 | Fax : 04 74 89 89 03",http://www.mairie-cours.fr,mairie,True,Cours,True
mairie-47073-01,Mairie - Cours 47073-01,mairie.cours@wanadoo.fr,"Adresse : Le Bourg,47360,Cours | Tél : 05 53 68 84 47 | Fax : 05 53 95 75 93",,mairie,True,Cours,True
mairie-79104-01,Mairie - Cours 79104-01,mairiedecours79@wanadoo.fr,"Adresse : Rue des Fontaines,79220,Cours | Tél : 05 49 25 82 70 | Fax : 05 49 25 66 36",http://mairiedecours79.blogspot.com,mairie,True,Cours,True
mairie-39172-01,Mairie - Courtefontaine 39172-01,mairie-courtefontaine@wanadoo.fr,"Adresse : 6 rue de l'Église,39700,Courtefontaine | Tél : 03 84 71 16 87 | Fax : ",http://www.courtefontaine-jura.fr,mairie,True,Courtefontaine,True
mairie-25174-01,Mairie - Courtefontaine 25174-01,mairie.courtefontaine25@wanadoo.fr,"Adresse : 13 Grande rue, 25470, Courtefontaine | Tél : 03 81 44 42 88 | Fax : ",,mairie,True,Courtefontaine,True
mairie-77138-01,Mairie - Courtomer 77138-01,mairie.courtomer@wanadoo.fr,"Adresse : Place de l'Église,77390,Courtomer | Tél : 01 64 06 92 67 | Fax : 01 64 06 56 27",http://www.courtomer.fr,mairie,True,Courtomer,True
